per_sies;id_carr_gen;area_carr;tipo_inst;nom_carr_gen;coho_mat;tasa_ret_1er_anio;tasa_ret_2do_anio;tasa_ret_1er_anio2;tasa_ret_2do_anio3
7;0.9739583333333333;0;3;110;1.0;0.5126684636118597;0.37412244125047955;0,512668464;0,374122441
7;0.9791666666666666;5;3;49;1.0;0.21685319289005922;0.37412244125047955;0,216853193;0,374122441
7;0.9843749999999999;8;3;50;1.0;0.747252747252747;0.37412244125047955;0,747252747;0,374122441
7;0.9895833333333333;1;3;51;1.0;0.7837837837837835;0.37412244125047955;0,783783784;0,374122441
7;0.9999999999999999;4;3;43;1.0;0.6295022258195062;0.4487849353291242;0,629502226;0,448784935
6;0.0;0;0;40;0.8571428571428896;0.2241153342070774;0.4518905526534329;0,224115334;0,451890553
6;0.005208333333333333;1;0;45;0.8571428571428896;0.3577129825704515;0.4518905526534329;0,357712983;0,451890553
6;0.010416666666666668;6;0;47;0.8571428571428896;0.6534908700322235;0.4518905526534329;0,65349087;0,451890553
6;0.015625;6;0;46;0.8571428571428896;0.7409311418434583;0.4518905526534329;0,740931142;0,451890553
6;0.020833333333333332;8;0;48;0.8571428571428896;0.6006618863761721;0.4518905526534329;0,600661886;0,451890553
6;0.026041666666666668;1;0;52;0.8571428571428896;0.36566186107470533;0.4518905526534329;0,365661861;0,451890553
6;0.031249999999999997;0;0;55;0.8571428571428896;0.40502177536426687;0.4518905526534329;0,405021775;0,451890553
6;0.03645833333333333;0;0;56;0.8571428571428896;0.5353159851301115;0.4518905526534329;0,535315985;0,451890553
6;0.04687499999999999;0;0;58;0.8571428571428896;0.3857142857142859;0.4518905526534329;0,385714286;0,451890553
6;0.05208333333333333;0;0;53;0.8571428571428896;0.0;0.4518905526534329;0;0,451890553
6;0.057291666666666664;4;0;54;0.8571428571428896;0.4679454820797577;0.4518905526534329;0,467945482;0,451890553
6;0.06770833333333333;0;0;63;0.8571428571428896;0.5361480624638519;0.4518905526534329;0,536148062;0,451890553
6;0.07291666666666667;9;0;64;0.8571428571428896;0.30009674298613365;0.4518905526534329;0,300096743;0,451890553
6;0.078125;9;0;66;0.8571428571428896;0.15657708628005662;0.4518905526534329;0,156577086;0,451890553
6;0.08333333333333333;0;0;68;0.8571428571428896;0.5072286204361676;0.4518905526534329;0,50722862;0,451890553
6;0.08854166666666667;6;0;70;0.8571428571428896;0.5027382256297921;0.4518905526534329;0,502738226;0,451890553
6;0.09375;9;0;73;0.8571428571428896;0.2921194674343288;0.4518905526534329;0,292119467;0,451890553
6;0.10416666666666667;9;0;75;0.8571428571428896;0.2721584984358709;0.4518905526534329;0,272158498;0,451890553
6;0.109375;8;0;76;0.8571428571428896;0.7148470390120687;0.4518905526534329;0,714847039;0,451890553
6;0.11458333333333333;8;0;77;0.8571428571428896;0.3411078717201168;0.4518905526534329;0,341107872;0,451890553
6;0.11979166666666667;0;0;79;0.8571428571428896;0.5535582108491066;0.4518905526534329;0,553558211;0,451890553
6;0.13541666666666666;9;0;83;0.8571428571428896;0.2805194805194806;0.4518905526534329;0,280519481;0,451890553
6;0.14062499999999997;8;0;84;0.8571428571428896;0.795210569777044;0.4518905526534329;0,79521057;0,451890553
6;0.14583333333333331;0;0;85;0.8571428571428896;0.3530565544295521;0.4518905526534329;0,353056554;0,451890553
6;0.15104166666666666;9;0;86;0.8571428571428896;0.4508762612851833;0.4518905526534329;0,450876261;0,451890553
6;0.16145833333333331;9;0;88;0.8571428571428896;0.29435572084882966;0.4518905526534329;0,294355721;0,451890553
6;0.16666666666666666;9;0;89;0.8571428571428896;0.34834623504574247;0.4518905526534329;0,348346235;0,451890553
6;0.17708333333333331;9;0;91;0.8571428571428896;0.42627960275019094;0.4518905526534329;0,426279603;0,451890553
6;0.18749999999999997;8;0;95;0.8571428571428896;0.5070422535211268;0.4518905526534329;0,507042254;0,451890553
6;0.19791666666666666;9;0;97;0.8571428571428896;0.04060150375939853;0.4518905526534329;0,040601504;0,451890553
