cod_ies;tipo_inst;nombre_inst;dir_sede_central;pag_web
430;Centros de Formación Técnica;Centro de Formación Técnica INACAP;Av. Vitacura 10151, Vitacura;www.inacap.cl
214;Centros de Formación Técnica;Centro de Formación Técnica Instituto Central de Capacitación Educacional ICCE;Av. Ejército Libertador 27, Santiago;www.icce.cl
241;Centros de Formación Técnica;Centro de Formación Técnica Instituto Superior Alemán de Comercio INSALCO;Nuestra Señora del Rosario 1120, Vitacura;www.insalco.cl
328;Centros de Formación Técnica;Centro de Formación Técnica Instituto Superior de Estudios Jurídicos CANON;Anfión Muñoz 721 - Oficina 5, Villarrica;https://cftcanon.cl/
331;Centros de Formación Técnica;Centro de Formación Técnica IPROSEC;Los Carrera 456, Osorno;www.cftiprosec.cl
257;Centros de Formación Técnica;Centro de Formación Técnica Juan Bohon;Balmaceda 2299, La Serena;www.juanbohon.cl
427;Centros de Formación Técnica;Centro de Formación Técnica Laplace;Av. Inmaculada Concepción 0264, Colina;www.cftlaplace.cl
450;Centros de Formación Técnica;Centro de Formación Técnica Lota-Arauco;Carlos Cousiño 184 y 199, Lota;www.cftlotarauco.cl
701;Centros de Formación Técnica;Centro de Formación Técnica Manpower;Estados Unidos 291, Santiago;www.cftmanpower.cl
319;Centros de Formación Técnica;Centro de Formación Técnica Prodata;Baquedano 890, Osorno;http://sitio.cftprodata.cl/
691;Centros de Formación Técnica;Centro de Formación Técnica Profasoc;Patricio Lynch 1196, Rio Bueno;www.profasoc.cl
629;Centros de Formación Técnica;Centro de Formación Técnica PUCV;Av. Errázuriz 2038, Valparaíso;www.cftpucv.cl
367;Centros de Formación Técnica;Centro de Formación Técnica San Agustín;5 Poniente 1225, Talca;www.cftsanagustin.cl
260;Centros de Formación Técnica;Centro de Formación Técnica Santo Tomás;Av. Vergara 165, Santiago;www.ipcft.santotomas.cl/
633;Centros de Formación Técnica;Centro de Formación Técnica Teodoro Wickel Kluwen;Arturo Prat 321, Temuco;www.twk.cl
99;Institutos Profesionales;Instituto Profesional Agrario Adolfo Matthei;Av. René Soriano 2615, Casilla 58-A, Osorno;www.amatthei.cl
143;Institutos Profesionales;Instituto Profesional AIEP;Bellavista 0121, Providencia;www.aiep.cl
144;Institutos Profesionales;Instituto Profesional ARCOS;Av. Grecia 8991, Peñalolén;www.arcos.cl
108;Institutos Profesionales;Instituto Profesional Chileno Británico de Cultura;Paseo Huérfanos 554, Santiago;www.ipbritanico.cl
951;Institutos Profesionales;Instituto Profesional Cicerón;General Vidaurre 95, Playa Ancha;https://ipciceron.cl/
123;Institutos Profesionales;Instituto Profesional de Chile;Grajales 2374, Santiago;www.ipchile.cl
170;Institutos Profesionales;Instituto Profesional de Ciencias de la Computación Acuario Data;Condell 1438 OF 306, Providencia;www.ipcc.cl
176;Institutos Profesionales;Instituto Profesional del Valle Central;Dieciocho 193, Santiago;www.vallecentral.cl
120;Institutos Profesionales;Instituto Profesional Diego Portales;Maipú 301, Concepción;www.dportales.cl
139;Institutos Profesionales;Instituto Profesional Dr. Virginio Gómez G.;Artuto Prat 196, Concepción;www.virginiogomez.cl
