per_sies;id_carr_gen;area_carr;tipo_inst;nom_carr_gen;coho_mat;tasa_ret_1er_anio;tasa_ret_2do_anio
2024-2025;104;Tecnología;Institutos Profesionales;Ingeniería en Medio Ambiente;2022;0.783410138248848;0.7603686635944701
2024-2025;105;Tecnología;Institutos Profesionales;Ingeniería en Metalurgia;2022;0.7474226804123711;0.6391752577319587
2024-2025;106;Tecnología;Institutos Profesionales;Ingeniería en Minas;2022;0.7461629279811098;0.6474820143884892
2024-2025;107;Tecnología;Institutos Profesionales;Ingeniería en Prevención de Riesgos;2022;0.6618357487922706;0.5219512195121951
2024-2025;108;Tecnología;Institutos Profesionales;Ingeniería en Química;2022;0.6938775510204082;0.6326530612244898
2024-2025;109;Administración y Comercio;Institutos Profesionales;Ingeniería en Recursos Humanos;2022;0.789804469273743;0.6982332155477032
2024-2025;110;Tecnología;Institutos Profesionales;Ingeniería en Refrigeración y Climatización;2022;s/i;s/i
2024-2025;111;Administración y Comercio;Institutos Profesionales;Ingeniería en Seguridad Privada;2022;0.8841567291311755;0.6564625850340136
2024-2025;112;Tecnología;Institutos Profesionales;Ingeniería en Sonido;2022;0.8039772727272727;0.6704545454545454
2024-2025;113;Tecnología;Institutos Profesionales;Ingeniería en Telecomunicaciones;2022;0.7745098039215687;0.6879194630872483
2024-2025;114;Tecnología;Institutos Profesionales;Ingeniería Industrial;2022;0.7315968289920725;0.5506478209658422
2024-2025;116;Tecnología;Institutos Profesionales;Ingeniería Mecánica;2022;s/i;s/i
2024-2025;117;Salud;Institutos Profesionales;Kinesiología;2022;0.7850162866449512;0.6482084690553745
2024-2025;118;Arte y Arquitectura;Institutos Profesionales;Música, Canto o Danza;2022;0.724709784411277;0.5671641791044776
2024-2025;120;Educación;Institutos Profesionales;Psicopedagogía;2022;0.7362016514558888;0.597027972027972
2024-2025;121;Ciencias Sociales;Institutos Profesionales;Publicidad;2022;0.7741935483870968;0.6673387096774194
2024-2025;123;Ciencias Sociales;Institutos Profesionales;Relaciones Públicas;2022;0.7408906882591093;0.6720647773279352
2024-2025;124;Agropecuaria;Institutos Profesionales;Técnico Agropecuario;2022;0.742296918767507;s/i
2024-2025;125;Educación;Institutos Profesionales;Técnico Asistente del Educador de Párvulos;2022;0.6931094383323683;s/i
2024-2025;126;Educación;Institutos Profesionales;Técnico Asistente del Educador Diferencial;2022;0.6976331360946746;s/i
2024-2025;127;Salud;Institutos Profesionales;Técnico Dental y Asistente de Odontología;2022;0.7737321196358907;s/i
2024-2025;128;Administración y Comercio;Institutos Profesionales;Técnico en Administración de Empresas;2022;0.6739958448753463;s/i
2024-2025;129;Administración y Comercio;Institutos Profesionales;Técnico en Administración de Recursos Humanos y Personal;2022;0.7013358778625954;s/i
2024-2025;130;Tecnología;Institutos Profesionales;Técnico en Administración de Redes y Soporte;2022;0.6045548654244306;s/i
2024-2025;133;Administración y Comercio;Institutos Profesionales;Técnico en Administración Financiera y Finanzas;2022;0.6842105263157895;s/i
2024-2025;134;Ciencias Sociales;Institutos Profesionales;Técnico en Administración Pública o Municipal;2022;0.6699875466998755;s/i
2024-2025;135;Tecnología;Institutos Profesionales;Técnico en Alimentos;2022;0.6086956521739131;s/i
2024-2025;139;Administración y Comercio;Institutos Profesionales;Técnico en Comercio Exterior;2022;0.7406832298136646;s/i
2024-2025;140;Tecnología;Institutos Profesionales;Técnico en Computación e Informática;2022;0.6662665066026411;s/i
2024-2025;141;Arte y Arquitectura;Institutos Profesionales;Técnico en Comunicación Audiovisual;2022;0.703862660944206;s/i
2024-2025;143;Tecnología;Institutos Profesionales;Técnico en Construcción y Obras Civiles;2022;0.6105305466237942;s/i
2024-2025;144;Administración y Comercio;Institutos Profesionales;Técnico en Contabilidad General;2022;0.6466165413533834;s/i
2024-2025;145;Administración y Comercio;Institutos Profesionales;Técnico en Contabilidad Tributaria;2022;0.7061728395061728;s/i
2024-2025;146;Educación;Institutos Profesionales;Técnico en Deporte, Recreación y Preparación Física;2022;0.7062543921293043;0.6847826086956522
2024-2025;147;Arte y Arquitectura;Institutos Profesionales;Técnico en Dibujo Arquitectónico;2022;0.7382920110192838;s/i
2024-2025;149;Arte y Arquitectura;Institutos Profesionales;Técnico en Diseño Gráfico;2022;0.6892778993435449;s/i
2024-2025;150;Tecnología;Institutos Profesionales;Técnico en Electricidad y Electricidad Industrial;2022;0.679837067209776;s/i
2024-2025;151;Tecnología;Institutos Profesionales;Técnico en Electromecánica;2022;0.7149321266968326;s/i
2024-2025;153;Salud;Institutos Profesionales;Técnico en Enfermería;2022;0.7157696873763356;s/i
2024-2025;154;Salud;Institutos Profesionales;Técnico en Farmacia;2022;0.7855421686746988;s/i
2024-2025;156;Administración y Comercio;Institutos Profesionales;Técnico en Gastronomía y Cocina;2022;0.7263636363636363;s/i
2024-2025;157;Ciencias Básicas;Institutos Profesionales;Técnico en Geología;2022;0.8;s/i
2024-2025;159;Tecnología;Institutos Profesionales;Técnico en Instrumentación, Automatización y Control Industrial;2022;0.6142697881828316;s/i
2024-2025;160;Salud;Institutos Profesionales;Técnico en Laboratorio Clínico;2022;0.840531561461794;s/i
2024-2025;161;Administración y Comercio;Institutos Profesionales;Técnico en Logística;2022;0.6571229050279329;s/i
2024-2025;162;Tecnología;Institutos Profesionales;Técnico en Mantenimiento Industrial;2022;0.6742857142857143;s/i
2024-2025;163;Salud;Institutos Profesionales;Técnico en Masoterapia;2022;0.7071197411003236;s/i
2024-2025;164;Tecnología;Institutos Profesionales;Técnico en Mecánica Automotriz;2022;0.7256317689530686;s/i
2024-2025;167;Tecnología;Institutos Profesionales;Técnico en Minería;2022;0.6647864625302176;s/i
2024-2025;169;Arte y Arquitectura;Institutos Profesionales;Técnico en Peluquería y Estética;2022;0.7119258662369057;s/i
2024-2025;170;Salud;Institutos Profesionales;Técnico en Podología;2022;0.7987421383647799;s/i
2024-2025;171;Tecnología;Institutos Profesionales;Técnico en Prevención de Riesgos;2022;0.6492581602373887;s/i
2024-2025;178;Salud;Institutos Profesionales;Técnico en Radiología y Radioterapia;2022;0.8111111111111111;s/i
2024-2025;179;Ciencias Sociales;Institutos Profesionales;Técnico en Relaciones Públicas;2022;0.6292134831460674;s/i
2024-2025;181;Ciencias Sociales;Institutos Profesionales;Técnico en Servicio Social;2022;0.687463726059199;s/i
2024-2025;182;Tecnología;Institutos Profesionales;Técnico en Sonido;2022;0.7532228360957642;s/i
2024-2025;183;Tecnología;Institutos Profesionales;Técnico en Telecomunicaciones;2022;0.6763005780346821;s/i
2024-2025;185;Tecnología;Institutos Profesionales;Técnico en Topografía;2022;0.70703125;s/i
2024-2025;186;Humanidades;Institutos Profesionales;Técnico en Traducción e Interpretariado;2022;0.5104166666666666;0.3188405797101449
2024-2025;188;Administración y Comercio;Institutos Profesionales;Técnico en Turismo y Hotelería;2022;0.6993710691823899;s/i
2024-2025;189;Derecho;Institutos Profesionales;Técnico Jurídico;2022;0.584331797235023;s/i
2024-2025;190;Salud;Institutos Profesionales;Técnico Laboratorista Dental;2022;0.7905982905982906;s/i
2024-2025;191;Agropecuaria;Institutos Profesionales;Técnico Veterinario;2022;0.8048048048048048;s/i
2024-2025;192;Salud;Institutos Profesionales;Terapia Ocupacional;2022;0.8226950354609929;0.7375886524822695
2024-2025;193;Ciencias Sociales;Institutos Profesionales;Trabajo Social;2022;0.7448064211520302;0.6210725253957005
2023-2024;1;Administración y Comercio;Centro de Formación Técnica;Secretariado Bilingüe;2021;0.5871559633027523;s/i
2023-2024;2;Agropecuaria;Centro de Formación Técnica;Técnico Agropecuario;2021;0.6391106043329533;s/i
2023-2024;3;Educación;Centro de Formación Técnica;Técnico Asistente del Educador de Párvulos;2021;0.7541353383458647;s/i
2023-2024;4;Educación;Centro de Formación Técnica;Técnico Asistente del Educador Diferencial;2021;0.7881398884946782;s/i
2023-2024;5;Salud;Centro de Formación Técnica;Técnico Dental y Asistente de Odontología;2021;0.7335907335907336;s/i
2023-2024;6;Agropecuaria;Centro de Formación Técnica;Técnico en Acuicultura y Pesca;2021;0.6422018348623854;s/i
2023-2024;7;Administración y Comercio;Centro de Formación Técnica;Técnico en Administración de Empresas;2021;0.6575084681972149;s/i
2023-2024;8;Administración y Comercio;Centro de Formación Técnica;Técnico en Administración de Recursos Humanos y Personal;2021;0.70817843866171;s/i
2023-2024;10;Administración y Comercio;Centro de Formación Técnica;Técnico en Administración de Ventas;2021;0.65;s/i
2023-2024;11;Administración y Comercio;Centro de Formación Técnica;Técnico en Administración Financiera y Finanzas;2021;0.5;s/i
2023-2024;12;Ciencias Sociales;Centro de Formación Técnica;Técnico en Administración Pública o Municipal;2021;0.6819787985865724;s/i
2023-2024;14;Administración y Comercio;Centro de Formación Técnica;Técnico en Comercio Exterior;2021;0.708502024291498;s/i
2023-2024;15;Tecnología;Centro de Formación Técnica;Técnico en Computación e Informática;2021;0.6167042889390519;s/i
2023-2024;16;Tecnología;Centro de Formación Técnica;Técnico en Construcción y Obras Civiles;2021;0.560891089108911;s/i
2023-2024;17;Administración y Comercio;Centro de Formación Técnica;Técnico en Contabilidad General;2021;0.6972555746140652;s/i
2023-2024;18;Educación;Centro de Formación Técnica;Técnico en Deporte, Recreación y Preparación Física;2021;0.6955093099671413;s/i
2023-2024;19;Tecnología;Centro de Formación Técnica;Técnico en Electricidad y Electricidad Industrial;2021;0.6136020151133501;s/i
2023-2024;21;Tecnología;Centro de Formación Técnica;Técnico en Electrónica y Electrónica Industrial;2021;0.6058394160583942;s/i
2023-2024;22;Salud;Centro de Formación Técnica;Técnico en Enfermería;2021;0.7779960707269156;s/i
2023-2024;23;Salud;Centro de Formación Técnica;Técnico en Farmacia;2021;0.6326530612244898;s/i
2023-2024;24;Administración y Comercio;Centro de Formación Técnica;Técnico en Gastronomía y Cocina;2021;0.7152726375524303;s/i
2023-2024;27;Tecnología;Centro de Formación Técnica;Técnico en Instrumentación, Automatización y Control Industrial;2021;0.6090909090909091;s/i
2023-2024;28;Salud;Centro de Formación Técnica;Técnico en Laboratorio Clínico;2021;0.8092485549132948;s/i
2023-2024;29;Administración y Comercio;Centro de Formación Técnica;Técnico en Logística;2021;0.6372997711670481;s/i
2023-2024;30;Tecnología;Centro de Formación Técnica;Técnico en Mantenimiento Industrial;2021;0.6753407682775713;s/i
2023-2024;32;Tecnología;Centro de Formación Técnica;Técnico en Mecánica Automotriz;2021;0.6144716692189893;s/i
2023-2024;33;Tecnología;Centro de Formación Técnica;Técnico en Mecánica Industrial;2021;0.6354679802955665;s/i
2023-2024;35;Tecnología;Centro de Formación Técnica;Técnico en Minería;2021;0.6657754010695187;s/i
2023-2024;37;Salud;Centro de Formación Técnica;Técnico en Podología;2021;0.6971830985915493;s/i
2023-2024;38;Tecnología;Centro de Formación Técnica;Técnico en Prevención de Riesgos;2021;0.49122807017543857;s/i
2023-2024;39;Tecnología;Centro de Formación Técnica;Técnico en Procesos Industriales;2021;0.5157894736842106;s/i
2023-2024;40;Arte y Arquitectura;Centro de Formación Técnica;Técnico en Producción Gráfica y Multimedia;2021;s/i;s/i
2023-2024;41;Ciencias Básicas;Centro de Formación Técnica;Técnico en Química (Análisis e Industrial);2021;0.7931034482758621;s/i
2023-2024;42;Salud;Centro de Formación Técnica;Técnico en Radiología y Radioterapia;2021;0.8035714285714286;s/i
2023-2024;43;Tecnología;Centro de Formación Técnica;Técnico en Refrigeración y Climatización;2021;s/i;s/i
2023-2024;44;Ciencias Sociales;Centro de Formación Técnica;Técnico en Servicio Social;2021;0.6406605922551253;s/i
2023-2024;45;Tecnología;Centro de Formación Técnica;Técnico en Telecomunicaciones;2021;0.6118421052631579;s/i
2023-2024;47;Tecnología;Centro de Formación Técnica;Técnico en Topografía;2021;0.6144781144781145;s/i
2023-2024;49;Administración y Comercio;Centro de Formación Técnica;Técnico en Turismo y Hotelería;2021;0.7079261672095548;s/i
2023-2024;50;Derecho;Centro de Formación Técnica;Técnico Jurídico;2021;0.7395626242544732;s/i
2023-2024;51;Salud;Centro de Formación Técnica;Técnico Laboratorista Dental;2021;0.7982832618025751;s/i
2023-2024;52;Agropecuaria;Centro de Formación Técnica;Técnico Veterinario;2021;0.7764589515331355;s/i
2023-2024;54;Administración y Comercio;Instituto Profesional;Administración de Empresas e Ing. Asociadas;2021;0.6865839909808342;0.5626684636118598
2023-2024;55;Administración y Comercio;Instituto Profesional;Administración Gastronómica;2021;0.8016372795969773;0.6668761785040854
2023-2024;56;Ciencias Sociales;Instituto Profesional;Administración Pública;2021;0.7957446808510639;0.6365568544102019
2023-2024;57;Administración y Comercio;Instituto Profesional;Administración Turística y Hotelera;2021;0.8007736943907157;0.6972920696324951
2023-2024;59;Arte y Arquitectura;Instituto Profesional;Comunicación Audiovisual y/o Multimedia;2021;0.84;0.7314285714285714
2023-2024;60;Tecnología;Instituto Profesional;Construcción Civil;2021;0.665680473372781;0.5327181208053692
2023-2024;61;Administración y Comercio;Instituto Profesional;Contador Auditor;2021;0.7294955122253173;0.5921459492888065
