per_sies;cod_ies;total_mujeres;total_hombres;total_gral;prom_edad_mujeres;prom_edad_hombres;prom_edad_inst;num_acad_1_inst;num_acad_2_inst;num_acad_3_mas_inst;num_acad_nform_doctor;num_acad_nform_magister;num_acad_nform_esp_med_odo;num_acad_nform_tit_prof;num_acad_nform_licencia;num_acad_nform_tns;num_acad_nform_tnm;num_acad_nform_ens_media;num_acad_nform_stit_sgra;num_acad_nform_sin_info;num_acad_reg_ar_pa;num_acad_reg_tarap;num_acad_reg_antof;num_acad_reg_ataca;num_acad_reg_coqui;num_acad_reg_valpo;num_acad_reg_metro;num_acad_reg_ohigg;num_acad_reg_maule;num_acad_reg_nuble;num_acad_reg_biobi;num_acad_reg_arau;num_acad_reg_losri;num_acad_reg_losla;num_acad_reg_aysen;num_acad_reg_magal;num_acad_reg_sin_inf;num_acad_nac_chile;num_acad_nac_extra;prom_gral_hrs_acad;prom_muj_hrs_acad;prom_hom_hrs_acad;num_acad_hrs_menos_11;num_acad_hrs_ent_11_22;num_acad_hrs_ent_23_38;num_acad_hrs_mas_38;num_acad_hrs_sin_info
PAC_2023;328;9;8;17;37.1111111111111;40.5;38.7058823529412;3;4;2;;1;;16;;;;;;;;;;;;;;;;;;17;;;;;;17;;26.8235294117647;26.6666666666667;27;;;17;;
PAC_2023;331;12;9;21;36.25;49.6666666666667;42;7;3;1;;6;;11;;3;;1;;;;;;;;;;;;;;;;21;;;;21;;15.7380952380952;16.1666666666667;15.1666666666667;13;3;1;4;
PAC_2023;367;199;234;433;38.3065326633166;40.3333333333333;39.4018475750577;86;65;31;;37;1;330;26;27;3;9;;;;;;;;;;;433;;;;;;;;;432;1;17.4829099307159;19.2964824120603;15.9405982905983;180;121;70;62;
PAC_2023;382;7;15;22;50.4285714285714;48.2;48.9090909090909;;1;4;;5;;8;3;2;;2;;2;;;;;;;22;;;;;;;;;;;22;;11.29;11.5714285714286;11.1586666666667;13;6;3;;
PAC_2023;426;25;63;88;47.24;48.3650793650794;48.0454545454545;5;6;5;2;38;;32;14;2;;;;;;;;;;;88;;;;;;;;;;;87;1;11.7238636363636;14.164;10.7555555555556;49;24;14;1;
PAC_2023;427;29;21;50;38.2413793103448;44.5238095238095;40.88;16;5;6;;1;;42;;7;;;;;;;;;;25;25;;;;;;;;;;;50;;11.02;11.4741379310345;10.3928571428571;35;11;;4;
PAC_2023;430;1414;2664;4078;44.2171145685997;46.1790540540541;45.4987739087788;300;476;364;39;1268;;2101;171;450;11;15;;23;106;139;230;100;194;195;1280;180;276;217;378;201;147;233;74;128;;3979;99;12.2667949975477;13.6693988684582;11.5223198198198;2015;1788;247;28;
PAC_2023;435;32;45;77;39.78125;41.7555555555556;40.9350649350649;11;14;2;1;23;;30;5;17;1;;;;;;;;;;77;;;;;;;;;;;73;4;11.7792207792208;16.134375;8.68222222222222;56;4;7;10;
PAC_2023;450;62;66;128;40.5161290322581;43.8939393939394;42.2578125;18;22;16;;20;;81;20;7;;;;;;;;;;;;;;;128;;;;;;;126;2;15.6953125;14.5967741935484;16.7272727272727;66;30;17;15;
PAC_2023;456;113;164;277;40.5309734513274;43.6158536585366;42.3574007220217;34;46;23;;40;;203;2;32;;;;;;;51;;104;;;;;;122;;;;;;;273;4;16.0327075812274;17.0121238938053;15.3578658536585;152;46;39;40;
