per_sies;id_carr_gen;area_carr;tipo_inst;nom_carr_gen;fecha_act;coho_tit;per_tit_carr;prom_ing_4to_anio:tit
2023-2024;63;Arte y Arquitectura;Instituto Profesional;Diseño de Vestuario;Septiembre de 2023;2018;2022;944166.3864000001
2023-2024;64;Arte y Arquitectura;Instituto Profesional;Diseño Gráfico;Septiembre de 2023;2018;2022;900016.9958080001
2023-2024;65;Tecnología;Instituto Profesional;Diseño Industrial;Septiembre de 2023;2018;2022;1035358.8345066668
2023-2024;66;Salud;Instituto Profesional;Fonoaudiología;Septiembre de 2023;2018;2022;s/i
2023-2024;68;Agropecuaria;Instituto Profesional;Ingeniería Agrícola;Septiembre de 2023;2018;2022;1058282.8140800002
2023-2024;69;Tecnología;Instituto Profesional;Ingeniería en Automatización, Instrumentación y Control;Septiembre de 2023;2018;2022;1610108.7590933333
2023-2024;70;Administración y Comercio;Instituto Profesional;Ingeniería en Comercio Exterior;Septiembre de 2023;2018;2022;1399996.7522666669
2023-2024;71;Tecnología;Instituto Profesional;Ingeniería en Computación e Informática;Septiembre de 2023;2018;2022;1754392.7611733333
2023-2024;72;Tecnología;Instituto Profesional;Ingeniería en Conectividad y Redes;Septiembre de 2023;2018;2022;1655306.9301866668
2023-2024;73;Tecnología;Instituto Profesional;Ingeniería en Construcción;Septiembre de 2023;2018;2022;1241499.7392533335
2023-2024;74;Tecnología;Instituto Profesional;Ingeniería en Electricidad;Septiembre de 2023;2018;2022;1508508.440426667
2023-2024;75;Administración y Comercio;Instituto Profesional;Ingeniería en Finanzas;Septiembre de 2023;2018;2022;1412048.9371733333
2023-2024;76;Ciencias Básicas;Instituto Profesional;Ingeniería en Geomensura y Cartografía;Septiembre de 2023;2018;2022;1342322.1986666669
2023-2024;77;Ciencias Sociales;Instituto Profesional;Ingeniería en Gestión Pública;Septiembre de 2023;2018;2022;1462364.8372266667
2023-2024;78;Administración y Comercio;Instituto Profesional;Ingeniería en Logística;Septiembre de 2023;2018;2022;1383964.8836800002
2023-2024;79;Administración y Comercio;Instituto Profesional;Ingeniería en Marketing;Septiembre de 2023;2018;2022;1252561.8124266667
2023-2024;80;Tecnología;Instituto Profesional;Ingeniería en Mecánica Automotriz;Septiembre de 2023;2018;2022;1318401.6410133333
2023-2024;81;Tecnología;Instituto Profesional;Ingeniería en Medio Ambiente;Septiembre de 2023;2018;2022;1137927.9437333334
2023-2024;82;Tecnología;Instituto Profesional;Ingeniería en Metalurgia;Septiembre de 2023;2018;2022;1422477.72272
2023-2024;83;Tecnología;Instituto Profesional;Ingeniería en Minas;Septiembre de 2023;2018;2022;1507848.1069333337
2023-2024;84;Tecnología;Instituto Profesional;Ingeniería en Prevención de Riesgos;Septiembre de 2023;2018;2022;1210606.8822933333
2023-2024;85;Tecnología;Instituto Profesional;Ingeniería en Química;Septiembre de 2023;2018;2022;1214413.828746667
2023-2024;86;Administración y Comercio;Instituto Profesional;Ingeniería en Recursos Humanos;Septiembre de 2023;2018;2022;1264245.2650666668
2023-2024;87;Tecnología;Instituto Profesional;Ingeniería en Refrigeración y Climatización;Septiembre de 2023;2018;2022;1195516.0004266668
2023-2024;88;Administración y Comercio;Instituto Profesional;Ingeniería en Seguridad Privada;Septiembre de 2023;2018;2022;s/i
2023-2024;89;Tecnología;Instituto Profesional;Ingeniería en Sonido;Septiembre de 2023;2018;2022;919816.2038400001
2023-2024;90;Tecnología;Instituto Profesional;Ingeniería en Telecomunicaciones;Septiembre de 2023;2018;2022;1518209.67584
2023-2024;91;Tecnología;Instituto Profesional;Ingeniería Industrial;Septiembre de 2023;2018;2022;1753048.56528
2023-2024;92;Tecnología;Instituto Profesional;Ingeniería Mecánica;Septiembre de 2023;2018;2022;1611799.6552533333
2023-2024;93;Salud;Instituto Profesional;Kinesiología;Septiembre de 2023;2018;2022;1159481.1548266667
2023-2024;94;Arte y Arquitectura;Instituto Profesional;Música, Canto o Danza;Septiembre de 2023;2018;2022;941387.7468266668
2023-2024;97;Educación;Instituto Profesional;Psicopedagogía;Septiembre de 2023;2018;2022;846864.275744
2023-2024;98;Ciencias Sociales;Instituto Profesional;Publicidad;Septiembre de 2023;2018;2022;998004.31472
2023-2024;100;Ciencias Sociales;Instituto Profesional;Relaciones Públicas;Septiembre de 2023;2018;2022;1093536.0178133333
2023-2024;101;Agropecuaria;Instituto Profesional;Técnico Agropecuario;Septiembre de 2023;2018;2022;868739.1038986667
2023-2024;102;Educación;Instituto Profesional;Técnico Asistente del Educador de Párvulos;Septiembre de 2023;2018;2022;620340.2447893334
2023-2024;103;Educación;Instituto Profesional;Técnico Asistente del Educador Diferencial;Septiembre de 2023;2018;2022;576465.8234400001
2023-2024;104;Salud;Instituto Profesional;Técnico Dental y Asistente de Odontología;Septiembre de 2023;2018;2022;638004.2277973334
2023-2024;105;Administración y Comercio;Instituto Profesional;Técnico en Administración de Empresas;Septiembre de 2023;2018;2022;1096672.3473600002
2023-2024;106;Administración y Comercio;Instituto Profesional;Técnico en Administración de Recursos Humanos y Personal;Septiembre de 2023;2018;2022;1019233.5701866668
2023-2024;107;Tecnología;Instituto Profesional;Técnico en Administración de Redes y Soporte;Septiembre de 2023;2018;2022;1022859.6946666668
2023-2024;108;Administración y Comercio;Instituto Profesional;Técnico en Administración de Ventas;Septiembre de 2023;2018;2022;1000615.4784533335
2023-2024;109;Administración y Comercio;Instituto Profesional;Técnico en Administración Financiera y Finanzas;Septiembre de 2023;2018;2022;1104022.5335466666
2023-2024;110;Ciencias Sociales;Instituto Profesional;Técnico en Administración Pública o Municipal;Septiembre de 2023;2018;2022;s/i
2023-2024;111;Tecnología;Instituto Profesional;Técnico en Alimentos;Septiembre de 2023;2018;2022;s/i
2023-2024;114;Administración y Comercio;Instituto Profesional;Técnico en Comercio Exterior;Septiembre de 2023;2018;2022;1063817.92976
2023-2024;115;Tecnología;Instituto Profesional;Técnico en Computación e Informática;Septiembre de 2023;2018;2022;1373893.3211733333
2023-2024;116;Arte y Arquitectura;Instituto Profesional;Técnico en Comunicación Audiovisual;Septiembre de 2023;2018;2022;850927.0598666668
2023-2024;117;Tecnología;Instituto Profesional;Técnico en Construcción y Obras Civiles;Septiembre de 2023;2018;2022;1019516.2189866668
2023-2024;118;Administración y Comercio;Instituto Profesional;Técnico en Contabilidad General;Septiembre de 2023;2018;2022;1156842.91984
2023-2024;119;Administración y Comercio;Instituto Profesional;Técnico en Contabilidad Tributaria;Septiembre de 2023;2018;2022;1129930.4773333333
2023-2024;120;Educación;Instituto Profesional;Técnico en Deporte, Recreación y Preparación Física;Septiembre de 2023;2018;2022;779174.9775360002
2023-2024;121;Arte y Arquitectura;Instituto Profesional;Técnico en Dibujo Arquitectónico;Septiembre de 2023;2018;2022;883250.0946399999
2023-2024;122;Arte y Arquitectura;Instituto Profesional;Técnico en Diseño Gráfico;Septiembre de 2023;2018;2022;763687.7037226666
2023-2024;123;Tecnología;Instituto Profesional;Técnico en Electricidad y Electricidad Industrial;Septiembre de 2023;2018;2022;1082361.72832
2023-2024;124;Tecnología;Instituto Profesional;Técnico en Electromecánica;Septiembre de 2023;2018;2022;1037045.2481066668
2023-2024;126;Salud;Instituto Profesional;Técnico en Enfermería;Septiembre de 2023;2018;2022;766800.5005546667
2023-2024;127;Salud;Instituto Profesional;Técnico en Farmacia;Septiembre de 2023;2018;2022;s/i
2023-2024;129;Administración y Comercio;Instituto Profesional;Técnico en Gastronomía y Cocina;Septiembre de 2023;2018;2022;677439.598176
2023-2024;130;Ciencias Básicas;Instituto Profesional;Técnico en Geología;Septiembre de 2023;2018;2022;s/i
2023-2024;131;Tecnología;Instituto Profesional;Técnico en Instrumentación, Automatización y Control Industrial;Septiembre de 2023;2018;2022;1319400.45856
2023-2024;132;Salud;Instituto Profesional;Técnico en Laboratorio Clínico;Septiembre de 2023;2018;2022;696911.1206453334
2023-2024;133;Administración y Comercio;Instituto Profesional;Técnico en Logística;Septiembre de 2023;2018;2022;1142539.033706667
2023-2024;134;Tecnología;Instituto Profesional;Técnico en Mantenimiento Industrial;Septiembre de 2023;2018;2022;1096798.6523733335
2023-2024;135;Salud;Instituto Profesional;Técnico en Masoterapia;Septiembre de 2023;2018;2022;711439.9119733335
2023-2024;136;Tecnología;Instituto Profesional;Técnico en Mecánica Automotriz;Septiembre de 2023;2018;2022;942606.0656533334
2023-2024;139;Tecnología;Instituto Profesional;Técnico en Minería;Septiembre de 2023;2018;2022;1104997.3244266668
2023-2024;140;Salud;Instituto Profesional;Técnico en Nutrición y Dietética;Septiembre de 2023;2018;2022;655392.5206720001
2023-2024;141;Arte y Arquitectura;Instituto Profesional;Técnico en Peluquería y Estética;Septiembre de 2023;2018;2022;724655.8919466668
2023-2024;142;Salud;Instituto Profesional;Técnico en Podología;Septiembre de 2023;2018;2022;s/i
2023-2024;143;Tecnología;Instituto Profesional;Técnico en Prevención de Riesgos;Septiembre de 2023;2018;2022;940601.5262933333
2023-2024;145;Salud;Instituto Profesional;Técnico en Radiología y Radioterapia;Septiembre de 2023;2018;2022;740850.4154453333
2023-2024;146;Ciencias Sociales;Instituto Profesional;Técnico en Relaciones Públicas;Septiembre de 2023;2018;2022;973413.8355733333
2023-2024;148;Ciencias Sociales;Instituto Profesional;Técnico en Servicio Social;Septiembre de 2023;2018;2022;784700.6309706667
2023-2024;149;Tecnología;Instituto Profesional;Técnico en Sonido;Septiembre de 2023;2018;2022;829022.9450186668
2023-2024;150;Tecnología;Instituto Profesional;Técnico en Telecomunicaciones;Septiembre de 2023;2018;2022;844226.2022346667
2023-2024;152;Tecnología;Instituto Profesional;Técnico en Topografía;Septiembre de 2023;2018;2022;1175489.0928533336
2023-2024;153;Humanidades;Instituto Profesional;Técnico en Traducción e Interpretariado;Septiembre de 2023;2018;2022;1330809.2628266667
2023-2024;154;Administración y Comercio;Instituto Profesional;Técnico en Turismo y Hotelería;Septiembre de 2023;2018;2022;756821.4019093333
2023-2024;155;Derecho;Instituto Profesional;Técnico Jurídico;Septiembre de 2023;2018;2022;929175.1535466667
2023-2024;156;Salud;Instituto Profesional;Técnico Laboratorista Dental;Septiembre de 2023;2018;2022;s/i
2023-2024;157;Agropecuaria;Instituto Profesional;Técnico Veterinario;Septiembre de 2023;2018;2022;682312.9841866668
2023-2024;158;Salud;Instituto Profesional;Terapia Ocupacional;Septiembre de 2023;2018;2022;1000302.6421866668
2023-2024;159;Ciencias Sociales;Instituto Profesional;Trabajo Social;Septiembre de 2023;2018;2022;1028925.2593066668
2022-2023;1;Administración y Comercio;Centros de Formación Técnica;Secretariado Bilingüe;Septiembre de 2022;2013;2017;864602.5180638335
2022-2023;2;Agropecuaria;Centros de Formación Técnica;Técnico Agropecuario;Septiembre de 2022;2013;2017;845989.3118141667
2022-2023;3;Educación;Centros de Formación Técnica;Técnico Asistente del Educador de Párvulos;Septiembre de 2022;2013;2017;540723.1965426666
2022-2023;4;Educación;Centros de Formación Técnica;Técnico Asistente del Educador Diferencial;Septiembre de 2022;2013;2017;519043.14804050006
2022-2023;5;Salud;Centros de Formación Técnica;Técnico Dental y Asistente de Odontología;Septiembre de 2022;2013;2017;617478.1159038333
2022-2023;6;Agropecuaria;Centros de Formación Técnica;Técnico en Acuicultura y Pesca;Septiembre de 2022;2013;2017;s/i
2022-2023;7;Administración y Comercio;Centros de Formación Técnica;Técnico en Administración de Empresas;Septiembre de 2022;2013;2017;997011.6596790001
2022-2023;8;Administración y Comercio;Centros de Formación Técnica;Técnico en Administración de Recursos Humanos y Personal;Septiembre de 2022;2013;2017;923650.9534546668
2022-2023;9;Tecnología;Centros de Formación Técnica;Técnico en Administración de Redes y Soporte;Septiembre de 2022;2013;2017;926740.9646913334
2022-2023;10;Administración y Comercio;Centros de Formación Técnica;Técnico en Administración de Ventas;Septiembre de 2022;2013;2017;s/i
2022-2023;11;Ciencias Sociales;Centros de Formación Técnica;Técnico en Administración Pública o Municipal;Septiembre de 2022;2013;2017;1101799.635375
2022-2023;12;Administración y Comercio;Centros de Formación Técnica;Técnico en Comercio Exterior;Septiembre de 2022;2013;2017;981807.0441025001
2022-2023;13;Tecnología;Centros de Formación Técnica;Técnico en Computación e Informática;Septiembre de 2022;2013;2017;1057655.2565298334
2022-2023;14;Tecnología;Centros de Formación Técnica;Técnico en Construcción y Obras Civiles;Septiembre de 2022;2013;2017;899551.2549180001
2022-2023;15;Administración y Comercio;Centros de Formación Técnica;Técnico en Contabilidad General;Septiembre de 2022;2013;2017;1051657.2227621668
2022-2023;16;Educación;Centros de Formación Técnica;Técnico en Deporte, Recreación y Preparación Física;Septiembre de 2022;2013;2017;705608.0558316667
2022-2023;17;Tecnología;Centros de Formación Técnica;Técnico en Electricidad y Electricidad Industrial;Septiembre de 2022;2013;2017;1050884.0548725
2022-2023;18;Tecnología;Centros de Formación Técnica;Técnico en Electrónica y Electrónica Industrial;Septiembre de 2022;2013;2017;1037895.6245431667
2022-2023;19;Salud;Centros de Formación Técnica;Técnico en Enfermería;Septiembre de 2022;2013;2017;716715.4081068333
2022-2023;20;Salud;Centros de Formación Técnica;Técnico en Farmacia;Septiembre de 2022;2013;2017;731991.291668
2022-2023;21;Administración y Comercio;Centros de Formación Técnica;Técnico en Gastronomía y Cocina;Septiembre de 2022;2013;2017;654153.7842851667
2022-2023;22;Tecnología;Centros de Formación Técnica;Técnico en Instrumentación, Automatización y Control Industrial;Septiembre de 2022;2013;2017;1360694.5758483333
2022-2023;23;Salud;Centros de Formación Técnica;Técnico en Laboratorio Clínico;Septiembre de 2022;2013;2017;745940.03381
2022-2023;24;Administración y Comercio;Centros de Formación Técnica;Técnico en Logística;Septiembre de 2022;2013;2017;1129313.248385
2022-2023;25;Tecnología;Centros de Formación Técnica;Técnico en Mantenimiento Industrial;Septiembre de 2022;2013;2017;1258183.0508783334
2022-2023;26;Tecnología;Centros de Formación Técnica;Técnico en Mecánica Automotriz;Septiembre de 2022;2013;2017;1065505.7580273333
2022-2023;27;Tecnología;Centros de Formación Técnica;Técnico en Mecánica Industrial;Septiembre de 2022;2013;2017;1123563.0892816668
2022-2023;28;Tecnología;Centros de Formación Técnica;Técnico en Minería;Septiembre de 2022;2013;2017;1997229.0219516668
2022-2023;29;Salud;Centros de Formación Técnica;Técnico en Podología;Septiembre de 2022;2013;2017;734025.5598218334
2022-2023;30;Tecnología;Centros de Formación Técnica;Técnico en Prevención de Riesgos;Septiembre de 2022;2013;2017;956502.4136408335
2022-2023;31;Tecnología;Centros de Formación Técnica;Técnico en Procesos Industriales;Septiembre de 2022;2013;2017;914440.0216863333
2022-2023;32;Ciencias Básicas;Centros de Formación Técnica;Técnico en Química (Análisis e Industrial);Septiembre de 2022;2013;2017;910638.4211130001
2022-2023;33;Salud;Centros de Formación Técnica;Técnico en Radiología y Radioterapia;Septiembre de 2022;2013;2017;684995.2771683334
2022-2023;34;Tecnología;Centros de Formación Técnica;Técnico en Refrigeración y Climatización;Septiembre de 2022;2013;2017;958486.9785908335
2022-2023;35;Ciencias Sociales;Centros de Formación Técnica;Técnico en Servicio Social;Septiembre de 2022;2013;2017;671399.6138676667
2022-2023;36;Tecnología;Centros de Formación Técnica;Técnico en Telecomunicaciones;Septiembre de 2022;2013;2017;1058715.6845611667
2022-2023;37;Tecnología;Centros de Formación Técnica;Técnico en Topografía;Septiembre de 2022;2013;2017;1011031.3324223334
2022-2023;38;Administración y Comercio;Centros de Formación Técnica;Técnico en Turismo y Hotelería;Septiembre de 2022;2013;2017;746718.0155068334
2022-2023;39;Derecho;Centros de Formación Técnica;Técnico Jurídico;Septiembre de 2022;2013;2017;815510.1352191666
2022-2023;40;Salud;Centros de Formación Técnica;Técnico Laboratorista Dental;Septiembre de 2022;2013;2017;699444.8988246666
2022-2023;41;Agropecuaria;Centros de Formación Técnica;Técnico Veterinario;Septiembre de 2022;2013;2017;607995.7203903333
2022-2023;42;Administración y Comercio;Institutos Profesionales;Administración de Empresas e Ing. Asociadas;Septiembre de 2022;2013;2017;1241926.4156250001
2022-2023;43;Administración y Comercio;Institutos Profesionales;Administración Gastronómica;Septiembre de 2022;2013;2017;819350.2933746668
2022-2023;44;Ciencias Sociales;Institutos Profesionales;Administración Pública;Septiembre de 2022;2013;2017;2003102.8831983337
2022-2023;45;Administración y Comercio;Institutos Profesionales;Administración Turística y Hotelera;Septiembre de 2022;2013;2017;857141.7437266667
2022-2023;46;Arte y Arquitectura;Institutos Profesionales;Comunicación Audiovisual y/o Multimedia;Septiembre de 2022;2013;2017;844693.6646938333
2022-2023;47;Tecnología;Institutos Profesionales;Construcción Civil;Septiembre de 2022;2013;2017;1467458.0123683335
2022-2023;48;Administración y Comercio;Institutos Profesionales;Contador Auditor;Septiembre de 2022;2013;2017;1406734.9448733332
2022-2023;49;Arte y Arquitectura;Institutos Profesionales;Diseño de Ambientes e Interiores;Septiembre de 2022;2013;2017;885553.8377206667
2022-2023;50;Arte y Arquitectura;Institutos Profesionales;Diseño de Vestuario;Septiembre de 2022;2013;2017;933341.2942061668
2022-2023;51;Arte y Arquitectura;Institutos Profesionales;Diseño Gráfico;Septiembre de 2022;2013;2017;825272.0387848333
2022-2023;52;Tecnología;Institutos Profesionales;Diseño Industrial;Septiembre de 2022;2013;2017;965156.3108333334
2022-2023;53;Agropecuaria;Institutos Profesionales;Ingeniería Agrícola;Septiembre de 2022;2013;2017;985414.5619748333
2022-2023;54;Tecnología;Institutos Profesionales;Ingeniería en Automatización, Instrumentación y Control;Septiembre de 2022;2013;2017;s/i
2022-2023;55;Administración y Comercio;Institutos Profesionales;Ingeniería en Comercio Exterior;Septiembre de 2022;2013;2017;1220371.13703
2022-2023;56;Tecnología;Institutos Profesionales;Ingeniería en Computación e Informática;Septiembre de 2022;2013;2017;1439365.3058983337
2022-2023;57;Tecnología;Institutos Profesionales;Ingeniería en Conectividad y Redes;Septiembre de 2022;2013;2017;1747087.8871266667
2022-2023;58;Tecnología;Institutos Profesionales;Ingeniería en Construcción;Septiembre de 2022;2013;2017;1334392.9177783334
2022-2023;59;Tecnología;Institutos Profesionales;Ingeniería en Electricidad;Septiembre de 2022;2013;2017;1837537.7598533332
2022-2023;60;Administración y Comercio;Institutos Profesionales;Ingeniería en Finanzas;Septiembre de 2022;2013;2017;1538927.4333866667
2022-2023;61;Tecnología;Institutos Profesionales;Ingeniería en Geomensura y Cartografía;Septiembre de 2022;2013;2017;s/i
2022-2023;62;Ciencias Sociales;Institutos Profesionales;Ingeniería en Gestión Pública;Septiembre de 2022;2013;2017;1820177.05179
2022-2023;63;Administración y Comercio;Institutos Profesionales;Ingeniería en Logística;Septiembre de 2022;2013;2017;1261749.16768
2022-2023;64;Administración y Comercio;Institutos Profesionales;Ingeniería en Marketing;Septiembre de 2022;2013;2017;1314057.1700116666
2022-2023;65;Tecnología;Institutos Profesionales;Ingeniería en Mecánica Automotriz;Septiembre de 2022;2013;2017;1285387.6055183334
2022-2023;66;Tecnología;Institutos Profesionales;Ingeniería en Medio Ambiente;Septiembre de 2022;2013;2017;s/i
2022-2023;67;Tecnología;Institutos Profesionales;Ingeniería en Metalurgia;Septiembre de 2022;2013;2017;s/i
2022-2023;68;Tecnología;Institutos Profesionales;Ingeniería en Minas;Septiembre de 2022;2013;2017;1472255.7611766665
2022-2023;69;Tecnología;Institutos Profesionales;Ingeniería en Prevención de Riesgos;Septiembre de 2022;2013;2017;1307771.0589816668
2022-2023;70;Tecnología;Institutos Profesionales;Ingeniería en Química;Septiembre de 2022;2013;2017;1094351.458605
2022-2023;71;Administración y Comercio;Institutos Profesionales;Ingeniería en Recursos Humanos;Septiembre de 2022;2013;2017;1201484.0251416666
