per_sies;id_carr_gen;area_carr;tipo_inst;nom_carr_gen;coho_tit;tit_mujeres;tit_hombres;tit_total
2024-2025;193;Ciencias Sociales;Institutos Profesionales;Trabajo Social;2023;2736;479.0;3215
2023-2024;1;Administración y Comercio;Centro de Formación Técnica;Secretariado Bilingüe;2022;67;2.0;69
2023-2024;2;Agropecuaria;Centro de Formación Técnica;Técnico Agropecuario;2022;411;487.0;898
2023-2024;3;Educación;Centro de Formación Técnica;Técnico Asistente del Educador de Párvulos;2022;3040;3.0;3043
2023-2024;4;Educación;Centro de Formación Técnica;Técnico Asistente del Educador Diferencial;2022;1271;30.0;1301
2023-2024;5;Salud;Centro de Formación Técnica;Técnico Dental y Asistente de Odontología;2022;725;86.0;811
2023-2024;6;Agropecuaria;Centro de Formación Técnica;Técnico en Acuicultura y Pesca;2022;15;27.0;42
2023-2024;7;Administración y Comercio;Centro de Formación Técnica;Técnico en Administración de Empresas;2022;2595;1263.0;3858
2023-2024;8;Administración y Comercio;Centro de Formación Técnica;Técnico en Administración de Recursos Humanos y Personal;2022;380;95.0;475
2023-2024;10;Administración y Comercio;Centro de Formación Técnica;Técnico en Administración de Ventas;2022;38;25.0;63
2023-2024;11;Administración y Comercio;Centro de Formación Técnica;Técnico en Administración Financiera y Finanzas;2022;20;10.0;30
2023-2024;12;Ciencias Sociales;Centro de Formación Técnica;Técnico en Administración Pública o Municipal;2022;341;89.0;430
2023-2024;14;Administración y Comercio;Centro de Formación Técnica;Técnico en Comercio Exterior;2022;205;138.0;343
2023-2024;15;Tecnología;Centro de Formación Técnica;Técnico en Computación e Informática;2022;136;970.0;1106
2023-2024;16;Tecnología;Centro de Formación Técnica;Técnico en Construcción y Obras Civiles;2022;195;778.0;973
2023-2024;17;Administración y Comercio;Centro de Formación Técnica;Técnico en Contabilidad General;2022;713;276.0;989
2023-2024;18;Educación;Centro de Formación Técnica;Técnico en Deporte, Recreación y Preparación Física;2022;388;901.0;1289
2023-2024;19;Tecnología;Centro de Formación Técnica;Técnico en Electricidad y Electricidad Industrial;2022;35;994.0;1029
2023-2024;21;Tecnología;Centro de Formación Técnica;Técnico en Electrónica y Electrónica Industrial;2022;6;116.0;122
2023-2024;22;Salud;Centro de Formación Técnica;Técnico en Enfermería;2022;4124;727.0;4851
2023-2024;23;Salud;Centro de Formación Técnica;Técnico en Farmacia;2022;638;138.0;776
2023-2024;24;Administración y Comercio;Centro de Formación Técnica;Técnico en Gastronomía y Cocina;2022;1309;920.0;2229
2023-2024;27;Tecnología;Centro de Formación Técnica;Técnico en Instrumentación, Automatización y Control Industrial;2022;71;877.0;948
2023-2024;28;Salud;Centro de Formación Técnica;Técnico en Laboratorio Clínico;2022;303;61.0;364
