per_sies;id_carr_gen;area_carr;tipo_inst;nom_carr_gen;per_tit_carr;tasa_emp
2023-2024;149;Tecnología;Instituto Profesional;Técnico en Sonido;2do año;0.35429769392033544
2023-2024;150;Tecnología;Instituto Profesional;Técnico en Telecomunicaciones;2do año;0.7048192771084337
2023-2024;152;Tecnología;Instituto Profesional;Técnico en Topografía;2do año;0.7098360655737705
2023-2024;153;Humanidades;Instituto Profesional;Técnico en Traducción e Interpretariado;2do año;0.4266666666666667
2023-2024;154;Administración y Comercio;Instituto Profesional;Técnico en Turismo y Hotelería;2do año;0.3992490613266583
2023-2024;155;Derecho;Instituto Profesional;Técnico Jurídico;2do año;0.5951008645533141
2023-2024;156;Salud;Instituto Profesional;Técnico Laboratorista Dental;2do año;0.48917748917748916
2023-2024;157;Agropecuaria;Instituto Profesional;Técnico Veterinario;2do año;0.4670846394984326
2023-2024;158;Salud;Instituto Profesional;Terapia Ocupacional;2do año;0.6439628482972136
2023-2024;159;Ciencias Sociales;Instituto Profesional;Trabajo Social;2do año;0.712890625
2022-2023;1;Administración y Comercio;Centros de Formación Técnica;Secretariado Bilingüe;1er año;0.7043879907621247
2022-2023;2;Agropecuaria;Centros de Formación Técnica;Técnico Agropecuario;1er año;0.4351308061932728
2022-2023;3;Educación;Centros de Formación Técnica;Técnico Asistente del Educador de Párvulos;1er año;0.325515947467167
2022-2023;4;Educación;Centros de Formación Técnica;Técnico Asistente del Educador Diferencial;1er año;0.24312333629103816
2022-2023;5;Salud;Centros de Formación Técnica;Técnico Dental y Asistente de Odontología;1er año;0.40586080586080586
2022-2023;6;Agropecuaria;Centros de Formación Técnica;Técnico en Acuicultura y Pesca;1er año;0.9242424242424242
2022-2023;7;Administración y Comercio;Centros de Formación Técnica;Técnico en Administración de Empresas;1er año;0.6048088779284834
2022-2023;8;Administración y Comercio;Centros de Formación Técnica;Técnico en Administración de Recursos Humanos y Personal;1er año;0.6208651399491094
2022-2023;9;Tecnología;Centros de Formación Técnica;Técnico en Administración de Redes y Soporte;1er año;0.7226890756302521
2022-2023;10;Administración y Comercio;Centros de Formación Técnica;Técnico en Administración de Ventas;1er año;0.7222222222222222
2022-2023;11;Ciencias Sociales;Centros de Formación Técnica;Técnico en Administración Pública o Municipal;1er año;0.8090062111801242
2022-2023;12;Administración y Comercio;Centros de Formación Técnica;Técnico en Comercio Exterior;1er año;0.6624203821656051
2022-2023;13;Tecnología;Centros de Formación Técnica;Técnico en Computación e Informática;1er año;0.6497093023255814
2022-2023;14;Tecnología;Centros de Formación Técnica;Técnico en Construcción y Obras Civiles;1er año;0.5492341356673961
2022-2023;15;Administración y Comercio;Centros de Formación Técnica;Técnico en Contabilidad General;1er año;0.6507844276583382
2022-2023;16;Educación;Centros de Formación Técnica;Técnico en Deporte, Recreación y Preparación Física;1er año;0.2872260015117158
2022-2023;17;Tecnología;Centros de Formación Técnica;Técnico en Electricidad y Electricidad Industrial;1er año;0.6869078380706287
2022-2023;18;Tecnología;Centros de Formación Técnica;Técnico en Electrónica y Electrónica Industrial;1er año;0.6556603773584906
2022-2023;19;Salud;Centros de Formación Técnica;Técnico en Enfermería;1er año;0.6251967127120126
2022-2023;20;Salud;Centros de Formación Técnica;Técnico en Farmacia;1er año;0.7774390243902439
2022-2023;21;Administración y Comercio;Centros de Formación Técnica;Técnico en Gastronomía y Cocina;1er año;0.28936850519584334
2022-2023;22;Tecnología;Centros de Formación Técnica;Técnico en Instrumentación, Automatización y Control Industrial;1er año;0.732287723093564
2022-2023;23;Salud;Centros de Formación Técnica;Técnico en Laboratorio Clínico;1er año;0.5481313703284258
2022-2023;24;Administración y Comercio;Centros de Formación Técnica;Técnico en Logística;1er año;0.6975374732334048
2022-2023;25;Tecnología;Centros de Formación Técnica;Técnico en Mantenimiento Industrial;1er año;0.6920234062211272
2022-2023;26;Tecnología;Centros de Formación Técnica;Técnico en Mecánica Automotriz;1er año;0.588574292157354
2022-2023;27;Tecnología;Centros de Formación Técnica;Técnico en Mecánica Industrial;1er año;0.7368421052631579
2022-2023;28;Tecnología;Centros de Formación Técnica;Técnico en Minería;1er año;0.6526717557251909
2022-2023;29;Salud;Centros de Formación Técnica;Técnico en Podología;1er año;0.38636363636363635
2022-2023;30;Tecnología;Centros de Formación Técnica;Técnico en Prevención de Riesgos;1er año;0.4779935275080906
2022-2023;31;Tecnología;Centros de Formación Técnica;Técnico en Procesos Industriales;1er año;0.717948717948718
2022-2023;32;Ciencias Básicas;Centros de Formación Técnica;Técnico en Química (Análisis e Industrial);1er año;0.6778523489932886
2022-2023;33;Salud;Centros de Formación Técnica;Técnico en Radiología y Radioterapia;1er año;0.6397058823529411
2022-2023;34;Tecnología;Centros de Formación Técnica;Técnico en Refrigeración y Climatización;1er año;0.672645739910314
2022-2023;35;Ciencias Sociales;Centros de Formación Técnica;Técnico en Servicio Social;1er año;0.4223385689354276
2022-2023;36;Tecnología;Centros de Formación Técnica;Técnico en Telecomunicaciones;1er año;0.6704119850187266
2022-2023;37;Tecnología;Centros de Formación Técnica;Técnico en Topografía;1er año;0.6057201225740552
2022-2023;38;Administración y Comercio;Centros de Formación Técnica;Técnico en Turismo y Hotelería;1er año;0.2523128679562658
2022-2023;39;Derecho;Centros de Formación Técnica;Técnico Jurídico;1er año;0.4381720430107527
2022-2023;40;Salud;Centros de Formación Técnica;Técnico Laboratorista Dental;1er año;0.2736318407960199
2022-2023;41;Agropecuaria;Centros de Formación Técnica;Técnico Veterinario;1er año;0.38767395626242546
2022-2023;42;Administración y Comercio;Institutos Profesionales;Administración de Empresas e Ing. Asociadas;1er año;0.7818440220287796
2022-2023;43;Administración y Comercio;Institutos Profesionales;Administración Gastronómica;1er año;0.3282747603833866
2022-2023;44;Ciencias Sociales;Institutos Profesionales;Administración Pública;1er año;0.9922630560928434
2022-2023;45;Administración y Comercio;Institutos Profesionales;Administración Turística y Hotelera;1er año;0.3004739336492891
2022-2023;46;Arte y Arquitectura;Institutos Profesionales;Comunicación Audiovisual y/o Multimedia;1er año;0.4192740926157697
2022-2023;47;Tecnología;Institutos Profesionales;Construcción Civil;1er año;0.7120504437178888
2022-2023;48;Administración y Comercio;Institutos Profesionales;Contador Auditor;1er año;0.8073120686439097
2022-2023;49;Arte y Arquitectura;Institutos Profesionales;Diseño de Ambientes e Interiores;1er año;0.39737991266375544
2022-2023;50;Arte y Arquitectura;Institutos Profesionales;Diseño de Vestuario;1er año;0.32398753894080995
2022-2023;51;Arte y Arquitectura;Institutos Profesionales;Diseño Gráfico;1er año;0.4376574307304786
2022-2023;52;Tecnología;Institutos Profesionales;Diseño Industrial;1er año;0.424812030075188
2022-2023;53;Agropecuaria;Institutos Profesionales;Ingeniería Agrícola;1er año;0.5424528301886793
2022-2023;54;Tecnología;Institutos Profesionales;Ingeniería en Automatización, Instrumentación y Control;1er año;0.8823529411764706
2022-2023;55;Administración y Comercio;Institutos Profesionales;Ingeniería en Comercio Exterior;1er año;0.75
2022-2023;56;Tecnología;Institutos Profesionales;Ingeniería en Computación e Informática;1er año;0.8323278029160383
2022-2023;57;Tecnología;Institutos Profesionales;Ingeniería en Conectividad y Redes;1er año;0.868440502586844
2022-2023;58;Tecnología;Institutos Profesionales;Ingeniería en Construcción;1er año;0.6540022132054593
2022-2023;59;Tecnología;Institutos Profesionales;Ingeniería en Electricidad;1er año;0.7817258883248731
2022-2023;60;Administración y Comercio;Institutos Profesionales;Ingeniería en Finanzas;1er año;0.7575757575757576
2022-2023;61;Tecnología;Institutos Profesionales;Ingeniería en Geomensura y Cartografía;1er año;0.75
2022-2023;62;Ciencias Sociales;Institutos Profesionales;Ingeniería en Gestión Pública;1er año;0.8839285714285714
2022-2023;63;Administración y Comercio;Institutos Profesionales;Ingeniería en Logística;1er año;0.8549723756906077
2022-2023;64;Administración y Comercio;Institutos Profesionales;Ingeniería en Marketing;1er año;0.6144662921348315
2022-2023;65;Tecnología;Institutos Profesionales;Ingeniería en Mecánica Automotriz;1er año;0.6969376979936642
2022-2023;66;Tecnología;Institutos Profesionales;Ingeniería en Medio Ambiente;1er año;0.5041666666666667
2022-2023;67;Tecnología;Institutos Profesionales;Ingeniería en Metalurgia;1er año;0.7614678899082569
2022-2023;68;Tecnología;Institutos Profesionales;Ingeniería en Minas;1er año;0.6547020818377602
2022-2023;69;Tecnología;Institutos Profesionales;Ingeniería en Prevención de Riesgos;1er año;0.6601998334721065
2022-2023;70;Tecnología;Institutos Profesionales;Ingeniería en Química;1er año;0.8095238095238095
2022-2023;71;Administración y Comercio;Institutos Profesionales;Ingeniería en Recursos Humanos;1er año;0.7705131544673092
2022-2023;72;Tecnología;Institutos Profesionales;Ingeniería en Refrigeración y Climatización;1er año;0.8974358974358975
2022-2023;73;Tecnología;Institutos Profesionales;Ingeniería en Sonido;1er año;0.32323232323232326
2022-2023;74;Tecnología;Institutos Profesionales;Ingeniería en Telecomunicaciones;1er año;0.8233486943164362
2022-2023;75;Tecnología;Institutos Profesionales;Ingeniería Industrial;1er año;0.915129151291513
2022-2023;76;Tecnología;Institutos Profesionales;Ingeniería Mecánica;1er año;0.8326975476839237
2022-2023;77;Salud;Institutos Profesionales;Kinesiología;1er año;0.5270758122743683
2022-2023;78;Salud;Institutos Profesionales;Nutrición y Dietética;1er año;0.3780487804878049
2022-2023;79;Educación;Institutos Profesionales;Psicopedagogía;1er año;0.482839542387797
2022-2023;80;Ciencias Sociales;Institutos Profesionales;Publicidad;1er año;0.5169082125603864
2022-2023;81;Ciencias Sociales;Institutos Profesionales;Relaciones Públicas;1er año;0.5096618357487923
2022-2023;82;Agropecuaria;Institutos Profesionales;Técnico Agropecuario;1er año;0.5456273764258555
2022-2023;83;Educación;Institutos Profesionales;Técnico Asistente del Educador de Párvulos;1er año;0.44764449722882027
2022-2023;84;Educación;Institutos Profesionales;Técnico Asistente del Educador Diferencial;1er año;0.31535418914059693
2022-2023;85;Salud;Institutos Profesionales;Técnico Dental y Asistente de Odontología;1er año;0.4309453471196455
2022-2023;86;Administración y Comercio;Institutos Profesionales;Técnico en Administración de Empresas;1er año;0.6975266621284321
2022-2023;87;Administración y Comercio;Institutos Profesionales;Técnico en Administración de Recursos Humanos y Personal;1er año;0.6527113237639554
2022-2023;88;Tecnología;Institutos Profesionales;Técnico en Administración de Redes y Soporte;1er año;0.7381174277726001
2022-2023;89;Administración y Comercio;Institutos Profesionales;Técnico en Administración de Ventas;1er año;0.6510067114093959
2022-2023;90;Administración y Comercio;Institutos Profesionales;Técnico en Administración Financiera y Finanzas;1er año;0.6477219351808361
2022-2023;91;Ciencias Sociales;Institutos Profesionales;Técnico en Administración Pública o Municipal;1er año;0.9318181818181818
2022-2023;92;Tecnología;Institutos Profesionales;Técnico en Alimentos;1er año;0.5903614457831325
2022-2023;93;Administración y Comercio;Institutos Profesionales;Técnico en Comercio Exterior;1er año;0.7321428571428571
2022-2023;94;Tecnología;Institutos Profesionales;Técnico en Computación e Informática;1er año;0.7277850021673169
2022-2023;95;Arte y Arquitectura;Institutos Profesionales;Técnico en Comunicación Audiovisual;1er año;0.3543859649122807
2022-2023;96;Tecnología;Institutos Profesionales;Técnico en Construcción y Obras Civiles;1er año;0.5720042987641053
2022-2023;97;Administración y Comercio;Institutos Profesionales;Técnico en Contabilidad General;1er año;0.7155929721815519
2022-2023;98;Administración y Comercio;Institutos Profesionales;Técnico en Contabilidad Tributaria;1er año;0.6185704742818972
2022-2023;99;Educación;Institutos Profesionales;Técnico en Deporte, Recreación y Preparación Física;1er año;0.3166804293971924
2022-2023;100;Arte y Arquitectura;Institutos Profesionales;Técnico en Dibujo Arquitectónico;1er año;0.5824175824175825
2022-2023;101;Arte y Arquitectura;Institutos Profesionales;Técnico en Diseño Gráfico;1er año;0.33471933471933474
2022-2023;102;Tecnología;Institutos Profesionales;Técnico en Electricidad y Electricidad Industrial;1er año;0.7092227144583165
2022-2023;103;Tecnología;Institutos Profesionales;Técnico en Electromecánica;1er año;0.7289002557544757
2022-2023;104;Salud;Institutos Profesionales;Técnico en Enfermería;1er año;0.6266579120157584
2022-2023;105;Salud;Institutos Profesionales;Técnico en Farmacia;1er año;0.7285714285714285
2022-2023;106;Arte y Arquitectura;Institutos Profesionales;Técnico en Fotografía;1er año;0.3860759493670886
2022-2023;107;Administración y Comercio;Institutos Profesionales;Técnico en Gastronomía y Cocina;1er año;0.3478723404255319
2022-2023;108;Ciencias Básicas;Institutos Profesionales;Técnico en Geología;1er año;0.44155844155844154
2022-2023;109;Tecnología;Institutos Profesionales;Técnico en Instrumentación, Automatización y Control Industrial;1er año;0.8169291338582677
2022-2023;110;Salud;Institutos Profesionales;Técnico en Laboratorio Clínico;1er año;0.5792079207920792
2022-2023;111;Administración y Comercio;Institutos Profesionales;Técnico en Logística;1er año;0.7759067357512953
2022-2023;112;Tecnología;Institutos Profesionales;Técnico en Mantenimiento Industrial;1er año;0.686030428769018
2022-2023;113;Salud;Institutos Profesionales;Técnico en Masoterapia;1er año;0.2792452830188679
2022-2023;114;Tecnología;Institutos Profesionales;Técnico en Mecánica Automotriz;1er año;0.5491280306252658
2022-2023;115;Tecnología;Institutos Profesionales;Técnico en Minería;1er año;0.637987012987013
2022-2023;116;Arte y Arquitectura;Institutos Profesionales;Técnico en Peluquería y Estética;1er año;0.20911528150134048
2022-2023;117;Salud;Institutos Profesionales;Técnico en Podología;1er año;0.652046783625731
2022-2023;118;Tecnología;Institutos Profesionales;Técnico en Prevención de Riesgos;1er año;0.530849478390462
2022-2023;119;Salud;Institutos Profesionales;Técnico en Radiología y Radioterapia;1er año;0.5967213114754099
2022-2023;120;Ciencias Sociales;Institutos Profesionales;Técnico en Relaciones Públicas;1er año;0.5879732739420935
2022-2023;121;Ciencias Sociales;Institutos Profesionales;Técnico en Servicio Social;1er año;0.46373008434864105
2022-2023;122;Tecnología;Institutos Profesionales;Técnico en Sonido;1er año;0.27578947368421053
2022-2023;123;Tecnología;Institutos Profesionales;Técnico en Telecomunicaciones;1er año;0.675
2022-2023;124;Tecnología;Institutos Profesionales;Técnico en Topografía;1er año;0.6973684210526315
2022-2023;125;Administración y Comercio;Institutos Profesionales;Técnico en Turismo y Hotelería;1er año;0.32878411910669975
2022-2023;126;Derecho;Institutos Profesionales;Técnico Jurídico;1er año;0.5294117647058824
2022-2023;127;Salud;Institutos Profesionales;Técnico Laboratorista Dental;1er año;0.46530612244897956
2022-2023;128;Agropecuaria;Institutos Profesionales;Técnico Veterinario;1er año;0.3167701863354037
2022-2023;129;Salud;Institutos Profesionales;Terapia Ocupacional;1er año;0.4798657718120805
2022-2023;130;Ciencias Sociales;Institutos Profesionales;Trabajo Social;1er año;0.6340317919075145
2022-2023;1;Administración y Comercio;Centros de Formación Técnica;Secretariado Bilingüe;2do año;0.7237569060773481
2022-2023;2;Agropecuaria;Centros de Formación Técnica;Técnico Agropecuario;2do año;0.53150826446281
2022-2023;3;Educación;Centros de Formación Técnica;Técnico Asistente del Educador de Párvulos;2do año;0.42032068062827227
2022-2023;4;Educación;Centros de Formación Técnica;Técnico Asistente del Educador Diferencial;2do año;0.38859684593611
2022-2023;5;Salud;Centros de Formación Técnica;Técnico Dental y Asistente de Odontología;2do año;0.5050251256281407
2022-2023;6;Agropecuaria;Centros de Formación Técnica;Técnico en Acuicultura y Pesca;2do año;0.881578947368421
2022-2023;7;Administración y Comercio;Centros de Formación Técnica;Técnico en Administración de Empresas;2do año;0.6671318911374738
2022-2023;8;Administración y Comercio;Centros de Formación Técnica;Técnico en Administración de Recursos Humanos y Personal;2do año;0.684248039914469
2022-2023;9;Tecnología;Centros de Formación Técnica;Técnico en Administración de Redes y Soporte;2do año;0.7516778523489933
2022-2023;10;Administración y Comercio;Centros de Formación Técnica;Técnico en Administración de Ventas;2do año;0.715
2022-2023;11;Ciencias Sociales;Centros de Formación Técnica;Técnico en Administración Pública o Municipal;2do año;0.8438061041292639
2022-2023;12;Administración y Comercio;Centros de Formación Técnica;Técnico en Comercio Exterior;2do año;0.7356902356902357
2022-2023;13;Tecnología;Centros de Formación Técnica;Técnico en Computación e Informática;2do año;0.7357549857549858
2022-2023;14;Tecnología;Centros de Formación Técnica;Técnico en Construcción y Obras Civiles;2do año;0.6122715404699739
2022-2023;15;Administración y Comercio;Centros de Formación Técnica;Técnico en Contabilidad General;2do año;0.7005347593582888
2022-2023;16;Educación;Centros de Formación Técnica;Técnico en Deporte, Recreación y Preparación Física;2do año;0.358257477243173
2022-2023;17;Tecnología;Centros de Formación Técnica;Técnico en Electricidad y Electricidad Industrial;2do año;0.7367993501218522
2022-2023;18;Tecnología;Centros de Formación Técnica;Técnico en Electrónica y Electrónica Industrial;2do año;0.7043795620437956
2022-2023;19;Salud;Centros de Formación Técnica;Técnico en Enfermería;2do año;0.7230318390622525
2022-2023;20;Salud;Centros de Formación Técnica;Técnico en Farmacia;2do año;0.8255451713395638
2022-2023;21;Administración y Comercio;Centros de Formación Técnica;Técnico en Gastronomía y Cocina;2do año;0.34436221158032215
2022-2023;22;Tecnología;Centros de Formación Técnica;Técnico en Instrumentación, Automatización y Control Industrial;2do año;0.8025343189017952
2022-2023;23;Salud;Centros de Formación Técnica;Técnico en Laboratorio Clínico;2do año;0.668918918918919
2022-2023;24;Administración y Comercio;Centros de Formación Técnica;Técnico en Logística;2do año;0.7556094602789569
2022-2023;25;Tecnología;Centros de Formación Técnica;Técnico en Mantenimiento Industrial;2do año;0.7722337125129266
2022-2023;26;Tecnología;Centros de Formación Técnica;Técnico en Mecánica Automotriz;2do año;0.6651712887438825
2022-2023;27;Tecnología;Centros de Formación Técnica;Técnico en Mecánica Industrial;2do año;0.797752808988764
2022-2023;28;Tecnología;Centros de Formación Técnica;Técnico en Minería;2do año;0.7049180327868853
2022-2023;29;Salud;Centros de Formación Técnica;Técnico en Podología;2do año;0.42160278745644597
2022-2023;30;Tecnología;Centros de Formación Técnica;Técnico en Prevención de Riesgos;2do año;0.562374245472837
2022-2023;31;Tecnología;Centros de Formación Técnica;Técnico en Procesos Industriales;2do año;0.75
2022-2023;32;Ciencias Básicas;Centros de Formación Técnica;Técnico en Química (Análisis e Industrial);2do año;0.736
2022-2023;33;Salud;Centros de Formación Técnica;Técnico en Radiología y Radioterapia;2do año;0.7368421052631579
2022-2023;34;Tecnología;Centros de Formación Técnica;Técnico en Refrigeración y Climatización;2do año;0.7071129707112971
2022-2023;35;Ciencias Sociales;Centros de Formación Técnica;Técnico en Servicio Social;2do año;0.5265748031496063
2022-2023;36;Tecnología;Centros de Formación Técnica;Técnico en Telecomunicaciones;2do año;0.7543478260869565
2022-2023;37;Tecnología;Centros de Formación Técnica;Técnico en Topografía;2do año;0.6893939393939394
2022-2023;38;Administración y Comercio;Centros de Formación Técnica;Técnico en Turismo y Hotelería;2do año;0.351278600269179
2022-2023;39;Derecho;Centros de Formación Técnica;Técnico Jurídico;2do año;0.5903083700440529
2022-2023;40;Salud;Centros de Formación Técnica;Técnico Laboratorista Dental;2do año;0.3745583038869258
2022-2023;41;Agropecuaria;Centros de Formación Técnica;Técnico Veterinario;2do año;0.5424836601307189
2022-2023;42;Administración y Comercio;Institutos Profesionales;Administración de Empresas e Ing. Asociadas;2do año;0.8123124576517278
2022-2023;43;Administración y Comercio;Institutos Profesionales;Administración Gastronómica;2do año;0.426917510853835
2022-2023;44;Ciencias Sociales;Institutos Profesionales;Administración Pública;2do año;0.9887640449438202
2022-2023;45;Administración y Comercio;Institutos Profesionales;Administración Turística y Hotelera;2do año;0.4206955046649703
2022-2023;46;Arte y Arquitectura;Institutos Profesionales;Comunicación Audiovisual y/o Multimedia;2do año;0.47871116225546606
2022-2023;47;Tecnología;Institutos Profesionales;Construcción Civil;2do año;0.7719846227775108
2022-2023;48;Administración y Comercio;Institutos Profesionales;Contador Auditor;2do año;0.8395107487027428
2022-2023;49;Arte y Arquitectura;Institutos Profesionales;Diseño de Ambientes e Interiores;2do año;0.5247933884297521
2022-2023;50;Arte y Arquitectura;Institutos Profesionales;Diseño de Vestuario;2do año;0.4648648648648649
2022-2023;51;Arte y Arquitectura;Institutos Profesionales;Diseño Gráfico;2do año;0.5254524886877828
2022-2023;52;Tecnología;Institutos Profesionales;Diseño Industrial;2do año;0.5694915254237288
2022-2023;53;Agropecuaria;Institutos Profesionales;Ingeniería Agrícola;2do año;0.6364372469635627
2022-2023;54;Tecnología;Institutos Profesionales;Ingeniería en Automatización, Instrumentación y Control;2do año;0.9009009009009009
2022-2023;55;Administración y Comercio;Institutos Profesionales;Ingeniería en Comercio Exterior;2do año;0.8153846153846154
2022-2023;56;Tecnología;Institutos Profesionales;Ingeniería en Computación e Informática;2do año;0.8859780439121756
2022-2023;57;Tecnología;Institutos Profesionales;Ingeniería en Conectividad y Redes;2do año;0.8954727030625832
2022-2023;58;Tecnología;Institutos Profesionales;Ingeniería en Construcción;2do año;0.7210283960092095
2022-2023;59;Tecnología;Institutos Profesionales;Ingeniería en Electricidad;2do año;0.8412959912136189
2022-2023;60;Administración y Comercio;Institutos Profesionales;Ingeniería en Finanzas;2do año;0.8444790046656299
2022-2023;61;Tecnología;Institutos Profesionales;Ingeniería en Geomensura y Cartografía;2do año;0.8734939759036144
2022-2023;62;Ciencias Sociales;Institutos Profesionales;Ingeniería en Gestión Pública;2do año;0.9108910891089109
2022-2023;63;Administración y Comercio;Institutos Profesionales;Ingeniería en Logística;2do año;0.8839590443686007
2022-2023;64;Administración y Comercio;Institutos Profesionales;Ingeniería en Marketing;2do año;0.7127192982456141
2022-2023;65;Tecnología;Institutos Profesionales;Ingeniería en Mecánica Automotriz;2do año;0.7611401043757527
2022-2023;66;Tecnología;Institutos Profesionales;Ingeniería en Medio Ambiente;2do año;0.6081632653061224
2022-2023;67;Tecnología;Institutos Profesionales;Ingeniería en Metalurgia;2do año;0.8087431693989071
2022-2023;68;Tecnología;Institutos Profesionales;Ingeniería en Minas;2do año;0.7443298969072165
2022-2023;69;Tecnología;Institutos Profesionales;Ingeniería en Prevención de Riesgos;2do año;0.725624660510592
2022-2023;70;Tecnología;Institutos Profesionales;Ingeniería en Química;2do año;0.7924528301886793
2022-2023;71;Administración y Comercio;Institutos Profesionales;Ingeniería en Recursos Humanos;2do año;0.8032786885245902
2022-2023;72;Tecnología;Institutos Profesionales;Ingeniería en Refrigeración y Climatización;2do año;0.8549618320610687
2022-2023;73;Tecnología;Institutos Profesionales;Ingeniería en Sonido;2do año;0.411522633744856
2022-2023;74;Tecnología;Institutos Profesionales;Ingeniería en Telecomunicaciones;2do año;0.8611521418020679
2022-2023;75;Tecnología;Institutos Profesionales;Ingeniería Industrial;2do año;0.8915187376725838
2022-2023;76;Tecnología;Institutos Profesionales;Ingeniería Mecánica;2do año;0.848780487804878
2022-2023;77;Salud;Institutos Profesionales;Kinesiología;2do año;0.6519337016574586
2022-2023;78;Salud;Institutos Profesionales;Nutrición y Dietética;2do año;0.46919431279620855
2022-2023;79;Educación;Institutos Profesionales;Psicopedagogía;2do año;0.6263459335624284
2022-2023;80;Ciencias Sociales;Institutos Profesionales;Publicidad;2do año;0.6682808716707022
2022-2023;81;Ciencias Sociales;Institutos Profesionales;Relaciones Públicas;2do año;0.5824175824175825
2022-2023;82;Agropecuaria;Institutos Profesionales;Técnico Agropecuario;2do año;0.5924713584288053
2022-2023;83;Educación;Institutos Profesionales;Técnico Asistente del Educador de Párvulos;2do año;0.5535990114303367
2022-2023;84;Educación;Institutos Profesionales;Técnico Asistente del Educador Diferencial;2do año;0.4005923731951129
2022-2023;85;Salud;Institutos Profesionales;Técnico Dental y Asistente de Odontología;2do año;0.512114537444934
2022-2023;86;Administración y Comercio;Institutos Profesionales;Técnico en Administración de Empresas;2do año;0.7140599180975645
2022-2023;87;Administración y Comercio;Institutos Profesionales;Técnico en Administración de Recursos Humanos y Personal;2do año;0.6896551724137931
2022-2023;88;Tecnología;Institutos Profesionales;Técnico en Administración de Redes y Soporte;2do año;0.7508771929824561
2022-2023;89;Administración y Comercio;Institutos Profesionales;Técnico en Administración de Ventas;2do año;0.6747572815533981
2022-2023;90;Administración y Comercio;Institutos Profesionales;Técnico en Administración Financiera y Finanzas;2do año;0.7020391177694548
2022-2023;91;Ciencias Sociales;Institutos Profesionales;Técnico en Administración Pública o Municipal;2do año;0.9688195991091314
2022-2023;92;Tecnología;Institutos Profesionales;Técnico en Alimentos;2do año;0.6666666666666666
2022-2023;93;Administración y Comercio;Institutos Profesionales;Técnico en Comercio Exterior;2do año;0.7488076311605724
2022-2023;94;Tecnología;Institutos Profesionales;Técnico en Computación e Informática;2do año;0.7635548308194048
2022-2023;95;Arte y Arquitectura;Institutos Profesionales;Técnico en Comunicación Audiovisual;2do año;0.43471810089020774
2022-2023;96;Tecnología;Institutos Profesionales;Técnico en Construcción y Obras Civiles;2do año;0.6137115839243499
2022-2023;97;Administración y Comercio;Institutos Profesionales;Técnico en Contabilidad General;2do año;0.7297654443343244
2022-2023;98;Administración y Comercio;Institutos Profesionales;Técnico en Contabilidad Tributaria;2do año;0.7176954732510288
2022-2023;99;Educación;Institutos Profesionales;Técnico en Deporte, Recreación y Preparación Física;2do año;0.3930416810196349
2022-2023;100;Arte y Arquitectura;Institutos Profesionales;Técnico en Dibujo Arquitectónico;2do año;0.6647482014388489
2022-2023;101;Arte y Arquitectura;Institutos Profesionales;Técnico en Diseño Gráfico;2do año;0.39590443686006827
2022-2023;102;Tecnología;Institutos Profesionales;Técnico en Electricidad y Electricidad Industrial;2do año;0.736986301369863
2022-2023;103;Tecnología;Institutos Profesionales;Técnico en Electromecánica;2do año;0.7921787709497207
2022-2023;104;Salud;Institutos Profesionales;Técnico en Enfermería;2do año;0.6917338831948572
2022-2023;105;Salud;Institutos Profesionales;Técnico en Farmacia;2do año;0.8165680473372781
2022-2023;106;Arte y Arquitectura;Institutos Profesionales;Técnico en Fotografía;2do año;0.3544973544973545
2022-2023;107;Administración y Comercio;Institutos Profesionales;Técnico en Gastronomía y Cocina;2do año;0.36477987421383645
2022-2023;108;Ciencias Básicas;Institutos Profesionales;Técnico en Geología;2do año;0.5263157894736842
2022-2023;109;Tecnología;Institutos Profesionales;Técnico en Instrumentación, Automatización y Control Industrial;2do año;0.8126520681265207
2022-2023;110;Salud;Institutos Profesionales;Técnico en Laboratorio Clínico;2do año;0.6590296495956873
2022-2023;111;Administración y Comercio;Institutos Profesionales;Técnico en Logística;2do año;0.8321732405259087
2022-2023;112;Tecnología;Institutos Profesionales;Técnico en Mantenimiento Industrial;2do año;0.7437185929648241
2022-2023;113;Salud;Institutos Profesionales;Técnico en Masoterapia;2do año;0.35859269282814615
2022-2023;114;Tecnología;Institutos Profesionales;Técnico en Mecánica Automotriz;2do año;0.619927536231884
2022-2023;115;Tecnología;Institutos Profesionales;Técnico en Minería;2do año;0.6424682395644283
2022-2023;116;Arte y Arquitectura;Institutos Profesionales;Técnico en Peluquería y Estética;2do año;0.2696245733788396
2022-2023;117;Salud;Institutos Profesionales;Técnico en Podología;2do año;0.7385786802030457
2022-2023;118;Tecnología;Institutos Profesionales;Técnico en Prevención de Riesgos;2do año;0.5680494263018535
2022-2023;119;Salud;Institutos Profesionales;Técnico en Radiología y Radioterapia;2do año;0.6876971608832808
2022-2023;120;Ciencias Sociales;Institutos Profesionales;Técnico en Relaciones Públicas;2do año;0.6200417536534447
2022-2023;121;Ciencias Sociales;Institutos Profesionales;Técnico en Servicio Social;2do año;0.5177132146204311
2022-2023;122;Tecnología;Institutos Profesionales;Técnico en Sonido;2do año;0.351493848857645
2022-2023;123;Tecnología;Institutos Profesionales;Técnico en Telecomunicaciones;2do año;0.74
2022-2023;124;Tecnología;Institutos Profesionales;Técnico en Topografía;2do año;0.7314949201741655
