per_sies;id_carr_gen;area_carr;tipo_inst;nom_carr_gen;per_tit_carr;tasa_emp
2019-2020;33;Tecnología;Centros de Formación Técnica;Técnico en Prevención de Riesgos;1er año;0.47474392963330025
2019-2020;34;Tecnología;Centros de Formación Técnica;Técnico en Procesos Industriales;1er año;0.7755714285714285
2019-2020;35;Arte y Arquitectura;Centros de Formación Técnica;Técnico en Producción Gráfica y Multimedia;1er año;0.5133928571428571
2019-2020;36;Ciencias Básicas;Centros de Formación Técnica;Técnico en Química (Análisis e Industrial);1er año;0.7519255583126551
2019-2020;37;Salud;Centros de Formación Técnica;Técnico en Radiología y Radioterapia;1er año;0.7827894736842106
2019-2020;38;Tecnología;Centros de Formación Técnica;Técnico en Refrigeración y Climatización;1er año;0.8056712962962963
2019-2020;39;Ciencias Sociales;Centros de Formación Técnica;Técnico en Servicio Social;1er año;0.45648192771084334
2019-2020;40;Tecnología;Centros de Formación Técnica;Técnico en Telecomunicaciones;1er año;0.696687912087912
2019-2020;41;Salud;Centros de Formación Técnica;Técnico en Terapias Naturales y Naturopatía;1er año;0.3318557692307692
2019-2020;42;Tecnología;Centros de Formación Técnica;Técnico en Topografía;1er año;0.637940594059406
2019-2020;43;Administración y Comercio;Centros de Formación Técnica;Técnico en Turismo y Hotelería;1er año;0.4024267612772428
2019-2020;44;Derecho;Centros de Formación Técnica;Técnico Jurídico;1er año;0.583747841105354
2019-2020;45;Salud;Centros de Formación Técnica;Técnico Laboratorista Dental;1er año;0.3644
2019-2020;46;Agropecuaria;Centros de Formación Técnica;Técnico Veterinario;1er año;0.451736040609137
2019-2020;47;Arte y Arquitectura;Institutos Profesionales;Actuación y Teatro;1er año;0.22694680851063828
2019-2020;48;Administración y Comercio;Institutos Profesionales;Administración de Empresas e Ing. Asociadas;1er año;0.8235333899951431
2019-2020;49;Administración y Comercio;Institutos Profesionales;Administración Gastronómica;1er año;0.4558441011235956
2019-2020;50;Ciencias Sociales;Institutos Profesionales;Administración Pública;1er año;0.9961734104046243
2019-2020;51;Administración y Comercio;Institutos Profesionales;Administración Turística y Hotelera;1er año;0.46442130987292274
2019-2020;52;Arte y Arquitectura;Institutos Profesionales;Comunicación Audiovisual y/o Multimedia;1er año;0.47417487046632123
2019-2020;53;Tecnología;Institutos Profesionales;Construcción Civil;1er año;0.7737396238651102
2019-2020;54;Administración y Comercio;Institutos Profesionales;Contador Auditor;1er año;0.8721630565583633
2019-2020;55;Arte y Arquitectura;Institutos Profesionales;Diseño de Ambientes e Interiores;1er año;0.46190476190476193
2019-2020;56;Arte y Arquitectura;Institutos Profesionales;Diseño de Vestuario;1er año;0.4825876010781671
2019-2020;57;Arte y Arquitectura;Institutos Profesionales;Diseño Gráfico;1er año;0.46035957873620864
2019-2020;58;Tecnología;Institutos Profesionales;Diseño Industrial;1er año;0.5074447761194031
2019-2020;59;Arte y Arquitectura;Institutos Profesionales;Fotografía;1er año;0.3699918699186992
2019-2020;60;Agropecuaria;Institutos Profesionales;Ingeniería Agrícola;1er año;0.6168152069297401
2019-2020;61;Administración y Comercio;Institutos Profesionales;Ingeniería en Comercio Exterior;1er año;0.8108685897435897
2019-2020;62;Tecnología;Institutos Profesionales;Ingeniería en Computación e Informática;1er año;0.8521064862104188
2019-2020;63;Tecnología;Institutos Profesionales;Ingeniería en Conectividad y Redes;1er año;0.8996118598382749
2019-2020;64;Tecnología;Institutos Profesionales;Ingeniería en Construcción;1er año;0.7392965762561138
