per_sies;id_carr_gen;area_carr;tipo_inst;nom_carr_gen;coho_mat;tasa_ret_1er_anio;tasa_ret_2do_anio
7;0.2604166666666667;8;1;95;1.0;0.539803707742639;0.4518905526534326
7;0.265625;9;1;96;1.0;0.6650246305418719;0.4518905526534326
7;0.27083333333333337;9;1;97;1.0;0.42857142857142855;0.4518905526534326
7;0.2760416666666667;2;1;98;1.0;0.641972882688151;0.4518905526534326
7;0.28125;3;1;100;1.0;0.5714285714285715;0.4518905526534326
7;0.2864583333333333;8;1;101;1.0;0.6160714285714288;0.4518905526534326
7;0.2916666666666667;9;1;102;1.0;0.47368421052631593;0.4518905526534326
7;0.3020833333333333;4;1;104;1.0;0.47517902658089567;0.4518905526534326
7;0.3072916666666667;9;1;106;1.0;0.4244702665755299;0.4518905526534326
7;0.3177083333333333;9;1;108;1.0;0.37670609645131936;0.4518905526534326
7;0.328125;0;1;110;1.0;0.5828796696076591;0.4518905526534326
7;0.3385416666666667;5;1;49;1.0;0.6181876813930991;0.4518905526534326
7;0.34375;8;1;50;1.0;0.8941798941798944;0.4518905526534326
7;0.3489583333333333;1;1;51;1.0;0.767766313035896;0.4518905526534326
7;0.3697916666666667;4;3;1;1.0;0.7468322981366462;0.6504743833237009
7;0.3958333333333333;0;3;5;1.0;0.6396724294813467;0.5455194002363861
7;0.40625;2;3;9;1.0;0.6492220650636493;0.29960221555862565
7;0.4114583333333333;2;3;6;1.0;0.7505168849069608;0.8820985789552562
7;0.4166666666666667;9;3;7;1.0;0.604696673189824;0.7993655913167312
7;0.421875;8;3;10;1.0;0.5350488021295475;0.9277860017155246
7;0.46354166666666663;9;3;16;1.0;0.5714285714285715;0.7820369351760905
7;0.5416666666666666;9;3;23;1.0;0.6362297496318117;0.7275901189362558
7;0.546875;9;3;24;1.0;0.6329903862371397;0.8555247738703653
7;0.5572916666666666;9;3;26;1.0;0.4985422740524782;0.6271399680413817
7;0.5677083333333333;9;3;28;1.0;0.5876772168999724;0.3741224412504796
7;0.5729166666666666;0;3;29;1.0;0.9878315891944514;0.993837024265146
7;0.5989583333333333;9;3;11;1.0;0.5986293762183661;0.3741224412504796
7;0.6041666666666666;8;3;32;1.0;0.7328990228013031;0.8667131029590942
7;0.6197916666666666;6;3;37;1.0;0.6073756751722855;0.07846812392635033
7;0.640625;1;3;45;1.0;0.6230492196878753;0.3741224412504796
7;0.6458333333333333;6;3;47;1.0;0.4965671271403756;0.3741224412504796
7;0.6510416666666667;6;3;46;1.0;0.5081994928148776;0.3741224412504796
7;0.65625;8;3;48;1.0;0.7038825933494335;0.3741224412504796
7;0.6614583333333333;0;3;55;1.0;0.447417886822319;0.3741224412504796
7;0.6875;0;3;53;1.0;0.47368421052631593;0.3741224412504796
7;0.6927083333333333;4;3;54;1.0;0.4371108343711084;0.3741224412504796
7;0.6979166666666667;9;3;59;1.0;0.2795031055900622;0.3741224412504796
7;0.71875;0;3;63;1.0;0.6188997338065663;0.3741224412504796
7;0.7291666666666667;2;3;65;1.0;0.524218270999387;0.3741224412504796
7;0.7395833333333333;9;3;66;1.0;0.2842214056040424;0.3741224412504796
7;0.75;0;3;69;1.0;0.5301587301587302;0.3741224412504796
7;0.7604166666666666;2;3;71;1.0;0.6127508854781584;0.3741224412504796
