cod_sies;acred_inst;area_carr;nom_carr_gen;nom_carr_tit;porc_tit_cont_est;ret_1er_anio;dur_real_carr_sem;emp_1er_anio_tit_carr;emp_2do_anio_tit_carr;ing_prom_4to_anio_tit;arancel_anual_carr;per_sies
430.0;7 años;Tecnología;Técnico en Procesos Industriales;Técnico en Fabricación y Montaje Industrial;0.07446808510638298;s/i;s/i;0.696969696969697;0.7045454545454546;De $900 mil a $1 millón;;2024-2025
430.0;7 años;Arte y Arquitectura;Técnico en Producción Gráfica y Multimedia;Técnico en Diseño y Producción Gráfica;0.1282051282051282;s/i;9.2;0.2785714285714286;0.3888888888888889;De $700 mil a $800 mil;;2024-2025
430.0;7 años;Ciencias Básicas;Técnico en Química (Análisis e Industrial);Tecnología en Análisis Químico;0.1987179487179487;0.7752808988764045;9.716981132075466;0.7449392712550608;0.7747035573122529;De $900 mil a $1 millón;;2024-2025
430.0;7 años;Tecnología;Técnico en Refrigeración y Climatización;Técnico en Refrigeración y Climatización;0.23660714285714285;0.75;8.109375000000002;0.6705202312138728;0.7888888888888889;De $900 mil a $1 millón;;2024-2025
430.0;7 años;Tecnología;Técnico en Telecomunicaciones;Técnico en Telecomunicaciones, Conectividad y Redes;0.2730673316708229;0.7048458149779736;8.138297872340425;0.6869712351945855;0.7625;De $900 mil a $1 millón;;2024-2025
430.0;7 años;Tecnología;Técnico en Topografía;Técnico en Topografía;0.16773162939297126;0.7884615384615384;8.543750000000001;0.6;0.6466019417475728;De $1 millón 100 mil a $1 millón 200 mil;;2024-2025
430.0;7 años;Administración y Comercio;Técnico en Turismo y Hotelería;Técnico en Turismo, en Hotelería y Restaurantes, y Hotelería y Servicios;0.13;0.7337962962962963;7.440366972477063;0.29567053854276665;0.36059907834101385;De $600 mil a $700 mil;;2024-2025
328.0;No;Educación;Técnico Asistente del Educador de Párvulos;Técnico en Educación de Párvulos;0.017142857142857144;s/i;7.085106382978719;0.2676056338028169;0.38613861386138615;s/i;;2024-2025
257.0;4 años;Administración y Comercio;Técnico en Gastronomía y Cocina;Técnico en Gastronomía y Cocina Internacional;0.057971014492753624;0.7327586206896551;5.394736842105264;0.425531914893617;0.2753623188405797;s/i;;2024-2025
427.0;No;Educación;Técnico Asistente del Educador de Párvulos;Técnico de Nivel Superior en Educación de Párvulos;0.0660377358490566;0.6428571428571429;6.428571428571429;0.22448979591836735;0.40384615384615385;s/i;;2024-2025
280.0;No;Educación;Técnico Asistente del Educador de Párvulos;Técnico en Educación Parvularia y Primer Ciclo de Enseñanza General Básica;0.07037037037037037;s/i;s/i;0.3066132264529058;0.39198606271777003;De $600 mil a $700 mil;;2024-2025
280.0;No;Educación;Técnico Asistente del Educador Diferencial;Técnico en Educación Diferencial;0.18691588785046728;s/i;s/i;0.25688073394495414;0.3402061855670103;De $600 mil a $700 mil;;2024-2025
280.0;No;Salud;Técnico en Enfermería;Técnico en Enfermería;0.03508771929824561;s/i;s/i;0.6940298507462687;0.7987012987012987;De $700 mil a $800 mil;;2024-2025
450.0;4 años;Educación;Técnico Asistente del Educador de Párvulos;Técnico en Educación de Párvulos;0.07860262008733625;0.7373737373737373;5.903846153846154;0.13559322033898305;0.11570247933884298;s/i;;2024-2025
450.0;4 años;Administración y Comercio;Técnico en Administración de Empresas;Técnico en Administración de Empresas;0.2109375;0.6575342465753424;5.61904761904762;0.41379310344827586;0.5;De $800 mil a $900 mil;;2024-2025
450.0;4 años;Tecnología;Técnico en Computación e Informática;Técnico en Computación e Informática;0.288135593220339;0.6363636363636364;s/i;0.3;0.375;s/i;;2024-2025
450.0;4 años;Tecnología;Técnico en Construcción y Obras Civiles;Técnico en Construcción;0.1917808219178082;0.4878048780487805;s/i;0.5135135135135135;0.5714285714285714;s/i;;2024-2025
450.0;4 años;Tecnología;Técnico en Instrumentación, Automatización y Control Industrial;Técnico en Instrumentación y Automatización Industrial;0.1875;0.4594594594594595;s/i;0.6607142857142857;0.7735849056603774;De $1 millón a $1 millón 100 mil;;2024-2025
450.0;4 años;Tecnología;Técnico en Mecánica Industrial;Técnico en Mecánica Industrial;0.12;0.42528735632183906;s/i;0.8125;0.7666666666666667;De $900 mil a $1 millón;;2024-2025
450.0;4 años;Tecnología;Técnico en Transporte Marítimo y Puertos;Técnico en Gestión Portuaria y Pesquera;0.14666666666666667;0.675;s/i;0.36363636363636365;0.5714285714285714;s/i;;2024-2025
701.0;3 años;Administración y Comercio;Secretariado Bilingüe;Asistente Ejecutivo Bilingüe o Asistente Ejecutivo y de Gestión;0.08333333333333333;0.65;7.157894736842103;0.6357142857142857;0.7055837563451777;De $900 mil a $1 millón;;2024-2025
701.0;3 años;Administración y Comercio;Técnico en Administración de Empresas;Técnico en Administración de Empresas;0.1557377049180328;0.3508771929824561;7.142857142857141;0.6862745098039216;0.7735849056603774;s/i;;2024-2025
319.0;No;Salud;Técnico en Enfermería;Técnico en Enfermería;0.048507462686567165;s/i;5.475;0.6666666666666666;0.7272727272727273;s/i;;2024-2025
629.0;5 años;Educación;Técnico Asistente del Educador de Párvulos;Técnico en Educación Parvularia;0.09530026109660575;0.8513189448441247;5.540856031128405;0.21788990825688073;0.33506493506493507;De $600 mil a $700 mil;;2024-2025
629.0;5 años;Administración y Comercio;Técnico en Administración de Empresas;Técnico en Administración de Empresas;0.12112676056338029;0.8181818181818182;6;0.474025974025974;0.5660377358490566;De $700 mil a $800 mil;;2024-2025
629.0;5 años;Tecnología;Técnico en Computación e Informática;Técnico en Computación e Informática;0.0958904109589041;0.8105263157894737;6.416666666666667;0.2564102564102564;0.6285714285714286;s/i;;2024-2025
629.0;5 años;Tecnología;Técnico en Construcción y Obras Civiles;Técnico en Construcción;0.1270718232044199;0.6851851851851852;5.988888888888892;0.5230769230769231;0.4875;De $900 mil a $1 millón;;2024-2025
629.0;5 años;Administración y Comercio;Técnico en Contabilidad General;Técnico en Contabilidad General;0.15384615384615385;0.9107142857142857;6.126760563380284;0.4909090909090909;;s/i;;2024-2025
629.0;5 años;Tecnología;Técnico en Electricidad y Electricidad Industrial;Técnico en Electricidad;0.10317460317460317;0.8764044943820225;6.48;0.7916666666666666;0.86;De $1 millón 100 mil a $1 millón 200 mil;;2024-2025
629.0;5 años;Salud;Técnico en Enfermería;Técnico en Enfermería;0.01990049751243781;0.8388746803069054;6.317518248175181;0.6146788990825688;0.6931216931216931;De $700 mil a $800 mil;;2024-2025
629.0;5 años;Administración y Comercio;Técnico en Gastronomía y Cocina;Técnico en Gastronomía Internacional;0.03333333333333333;0.8141025641025641;5.530612244897959;0.2830188679245283;0.20754716981132076;s/i;;2024-2025
629.0;5 años;Tecnología;Técnico en Mantenimiento Industrial;Técnico en Mantención Industrial;0.11409395973154363;0.668918918918919;6.797101449275362;0.7945205479452054;0.8279569892473119;De $1 millón 300 mil a $1 millón 400 mil;;2024-2025
629.0;5 años;Tecnología;Técnico en Minería;Técnico en Operaciones Mineras;0.21428571428571427;0.7142857142857143;7.2647058823529385;0.7307692307692307;0.7368421052631579;De $1 millón 200 mil a $1 millón 300 mil;;2024-2025
629.0;5 años;Ciencias Sociales;Técnico en Servicio Social;Técnico en Trabajo Social;0.1887966804979253;0.8337531486146096;5.426086956521739;0.29;0.37815126050420167;s/i;;2024-2025
367.0;5 años;Agropecuaria;Técnico Agropecuario;Técnico Agrícola;0.03985507246376811;0.6405529953917051;5.395604395604396;0.33879781420765026;0.4789473684210526;De $700 mil a $800 mil;;2024-2025
367.0;5 años;Educación;Técnico Asistente del Educador de Párvulos;Técnico de Párvulos y Básica;0.026483050847457626;0.68125;5.424999999999999;0.18938053097345134;0.2767527675276753;De $500 mil a $600 mil;;2024-2025
367.0;5 años;Salud;Técnico Dental y Asistente de Odontología;Técnico en Odontología;0.009836065573770493;0.6597222222222222;5.515151515151516;0.3125;0.36936936936936937;De $500 mil a $600 mil;;2024-2025
367.0;5 años;Administración y Comercio;Técnico en Administración de Empresas;Técnico en Administración de Empresas;0.20750551876379691;0.6184971098265896;5.469026548672566;0.43805309734513276;0.5223214285714286;De $700 mil a $800 mil;;2024-2025
367.0;5 años;Tecnología;Técnico en Alimentos;Técnico en Procesos y Controles de Calidad Alimentaria;0.037037037037037035;0.7407407407407407;5.562500000000003;0.4819277108433735;0.55;s/i;;2024-2025
367.0;5 años;Tecnología;Técnico en Computación e Informática;Técnico Analista Programador;0.20625;0.726775956284153;5.708333333333332;0.5208333333333334;0.5517241379310345;De $800 mil a $900 mil;;2024-2025
367.0;5 años;Tecnología;Técnico en Construcción y Obras Civiles;Técnico en Obras Civiles;0.15891472868217055;0.6459627329192547;5.5925925925925934;0.4968152866242038;0.5189873417721519;De $700 mil a $800 mil;;2024-2025
367.0;5 años;Administración y Comercio;Técnico en Contabilidad General;Técnico en Contabilidad General;0.1652892561983471;0.7622950819672131;5.342857142857142;0.56;0.65625;s/i;;2024-2025
367.0;5 años;Tecnología;Técnico en Electricidad y Electricidad Industrial;Técnico en Redes Eléctricas;0.049586776859504134;0.6767676767676768;s/i;0.6585365853658537;0.79;De $900 mil a $1 millón;;2024-2025
367.0;5 años;Salud;Técnico en Enfermería;Técnico en Enfermería;0.0214168039538715;0.7375328083989501;5.722689075630253;0.47368421052631576;0.6115702479338843;De $600 mil a $700 mil;;2024-2025
